Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
3                      	5403            	1                 	166             	25,92           	09:00                                	16:14                                	                                     	08:44                                  	06:43                                  	                                       	12,03                    	5,62                     	                         	09:03                           	16:18                           	                                	06:56                            	05:10                            	                                 	12,5                      	5,6                       	                          
3                      	4582            	1                 	165             	22,70           	08:42                                	15:57                                	                                     	06:27                                  	05:18                                  	                                       	5,39                     	3,42                     	                         	08:44                           	16:06                           	                                	10:28                            	15:10                            	                                 	6,1                       	3,3                       	                          
3                      	4551            	1                 	165             	24,88           	08:59                                	16:13                                	                                     	09:55                                  	06:59                                  	                                       	13,47                    	6,09                     	                         	09:02                           	16:25                           	                                	10:11                            	06:00                            	                                 	14,1                      	6,3                       	                          
3                      	4557            	1                 	153             	31,10           	08:58                                	16:13                                	                                     	14:20                                  	12:38                                  	                                       	12,53                    	7,38                     	                         	09:00                           	16:19                           	                                	16:55                            	12:24                            	                                 	12,4                      	8,1                       	                          
3                      	4560            	1                 	167             	48,51           	08:58                                	16:13                                	                                     	15:18                                  	12:53                                  	                                       	15,05                    	10,37                    	                         	08:59                           	16:26                           	                                	14:23                            	07:11                            	                                 	16,2                      	7,2                       	                          
3                      	4535            	1                 	165             	12,30           	09:00                                	16:14                                	                                     	11:48                                  	07:00                                  	                                       	9,69                     	4,21                     	                         	09:03                           	16:19                           	                                	11:51                            	14:48                            	                                 	9,4                       	4,9                       	                          
3                      	4525            	1                 	165             	18,94           	09:01                                	16:14                                	                                     	07:40                                  	05:16                                  	                                       	9,67                     	3,83                     	                         	09:03                           	16:26                           	                                	07:06                            	04:34                            	                                 	9,4                       	4,1                       	                          
3                      	4066            	1                 	168             	20,95           	08:58                                	16:13                                	                                     	14:23                                  	12:46                                  	                                       	9,67                     	4,91                     	                         	09:00                           	16:18                           	                                	16:27                            	13:13                            	                                 	10,4                      	6,2                       	                          
4                      	5407            	1                 	169             	22,24           	09:19                                	16:30                                	                                     	09:52                                  	06:16                                  	                                       	13,18                    	7,25                     	                         	09:22                           	16:40                           	                                	11:55                            	06:30                            	                                 	14,7                      	6,6                       	                          
4                      	4583            	1                 	171             	18,58           	09:22                                	16:31                                	                                     	09:27                                  	05:54                                  	                                       	8,82                     	3,64                     	                         	09:25                           	16:44                           	                                	09:12                            	07:01                            	                                 	8,8                       	4,5                       	                          
4                      	4587            	1                 	173             	24,62           	09:23                                	16:31                                	                                     	07:53                                  	06:29                                  	                                       	4,49                     	3,51                     	                         	09:25                           	16:43                           	                                	18:58                            	07:56                            	                                 	8,2                       	1,6                       	                          
4                      	4573            	1                 	168             	7,72            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4581            	1                 	170             	25,37           	09:19                                	16:25                                	                                     	18:57                                  	16:16                                  	                                       	14,32                    	7,60                     	                         	09:23                           	16:40                           	                                	24:03                            	16:36                            	                                 	14,2                      	9,4                       	                          
