Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4585            	1                 	80              	                	09:23                                	15:31                                	                                     	06:08                                  	04:36                                  	                                       	13,17                    	6,38                     	                         	08:54                           	15:33                           	                                	04:55                            	03:47                            	                                 	2,8                       	5,3                       	                          
2                      	4586            	1                 	85              	                	08:11                                	15:34                                	                                     	10:37                                  	06:35                                  	                                       	9,77                     	5,21                     	                         	08:13                           	15:29                           	                                	08:50                            	04:44                            	                                 	8,8                       	4,0                       	                          
2                      	5402            	1                 	81              	                	08:43                                	15:53                                	                                     	03:45                                  	03:47                                  	                                       	3,16                     	1,34                     	                         	08:46                           	15:58                           	                                	04:00                            	04:12                            	                                 	2,5                       	1,5                       	                          
2                      	4575            	1                 	78              	                	08:10                                	16:08                                	                                     	14:12                                  	05:46                                  	                                       	15,14                    	7,36                     	                         	08:56                           	15:28                           	                                	11:53                            	08:28                            	                                 	14,3                      	6,0                       	                          
2                      	4577            	1                 	78              	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4545            	1                 	77              	                	09:24                                	15:31                                	                                     	10:10                                  	11:43                                  	                                       	14,96                    	7,33                     	                         	08:55                           	15:33                           	                                	10:10                            	08:03                            	                                 	15,0                      	6,6                       	                          
2                      	4528            	1                 	75              	                	09:23                                	15:33                                	                                     	08:08                                  	06:15                                  	                                       	8,42                     	4,07                     	                         	08:56                           	15:33                           	                                	08:08                            	11:56                            	                                 	8,4                       	1,1                       	                          
2                      	4536            	1                 	81              	                	08:11                                	15:33                                	                                     	09:49                                  	08:09                                  	                                       	11,59                    	7,47                     	                         	08:13                           	15:43                           	                                	09:26                            	07:20                            	                                 	12,0                      	6,2                       	                          
2                      	4537            	1                 	78              	                	08:11                                	15:31                                	                                     	04:49                                  	03:08                                  	                                       	6,04                     	3,48                     	                         	08:13                           	15:28                           	                                	05:51                            	05:04                            	                                 	6,5                       	4,0                       	                          
3                      	5403            	1                 	83              	                	08:37                                	15:52                                	                                     	07:35                                  	06:29                                  	                                       	13,98                    	8,06                     	                         	08:31                           	15:52                           	                                	08:45                            	13:27                            	                                 	11,7                      	6,9                       	                          
3                      	5409            	1                 	83              	                	08:24                                	15:52                                	                                     	09:05                                  	07:18                                  	                                       	12,14                    	7,26                     	                         	08:23                           	15:53                           	                                	08:31                            	06:20                            	                                 	11,2                      	7,3                       	                          
3                      	4582            	1                 	82              	                	08:07                                	15:33                                	                                     	11:19                                  	07:12                                  	                                       	12,20                    	5,46                     	                         	08:13                           	15:28                           	                                	11:19                            	08:39                            	                                 	10,5                      	6,0                       	                          
3                      	4557            	1                 	70              	                	08:31                                	16:07                                	                                     	14:08                                  	10:08                                  	                                       	13,12                    	10,38                    	                         	08:31                           	15:53                           	                                	13:25                            	12:48                            	                                 	13,8                      	9,8                       	                          
3                      	4560            	1                 	84              	                	08:23                                	16:11                                	                                     	13:19                                  	08:55                                  	                                       	15,78                    	16,97                    	                         	08:31                           	15:42                           	                                	13:17                            	10:13                            	                                 	14,0                      	9,2                       	                          
3                      	4551            	1                 	82              	                	08:30                                	16:09                                	                                     	12:05                                  	07:56                                  	                                       	14,98                    	8,38                     	                         	08:31                           	15:42                           	                                	12:07                            	08:40                            	                                 	14,1                      	8,3                       	                          
3                      	4525            	1                 	82              	                	08:23                                	16:08                                	                                     	06:57                                  	05:28                                  	                                       	9,08                     	5,16                     	                         	08:23                           	15:43                           	                                	10:11                            	05:55                            	                                 	9,5                       	4,5                       	                          
3                      	4535            	1                 	82              	                	08:30                                	16:16                                	                                     	09:47                                  	05:46                                  	                                       	9,53                     	4,36                     	                         	08:23                           	15:59                           	                                	09:32                            	06:52                            	                                 	9,8                       	4,9                       	                          
3                      	4066            	1                 	85              	                	08:23                                	15:53                                	                                     	14:31                                  	09:56                                  	                                       	10,25                    	7,34                     	                         	08:22                           	15:53                           	                                	18:23                            	12:05                            	                                 	6,3                       	8,9                       	                          
4                      	5407            	1                 	86              	                	08:51                                	16:11                                	                                     	13:43                                  	09:43                                  	                                       	14,17                    	35,08                    	                         	                                	15:59                           	                                	                                 	10:02                            	                                 	                          	9,0                       	                          
4                      	4587            	1                 	90              	                	09:36                                	17:06                                	                                     	23:36                                  	09:52                                  	                                       	9,44                     	4,33                     	                         	09:23                           	                                	                                	13:21                            	                                 	                                 	8,2                       	                          	                          
4                      	4581            	1                 	87              	                	08:41                                	16:22                                	                                     	13:25                                  	27:35                                  	                                       	13,82                    	9,44                     	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4583            	1                 	88              	                	08:44                                	15:49                                	                                     	10:44                                  	08:25                                  	                                       	10,81                    	6,08                     	                         	                                	15:59                           	                                	                                 	07:53                            	                                 	                          	4,7                       	                          
4                      	4573            	1                 	85              	                	08:52                                	16:24                                	                                     	05:07                                  	04:11                                  	                                       	2,90                     	1,55                     	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4546            	1                 	87              	                	08:44                                	                                     	                                     	16:58                                  	                                       	                                       	11,71                    	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4548            	1                 	87              	                	09:36                                	17:06                                	                                     	10:58                                  	07:25                                  	                                       	14,93                    	9,22                     	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4550            	1                 	86              	                	08:51                                	                                     	                                     	14:08                                  	                                       	                                       	9,71                     	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4065            	1                 	90              	                	08:53                                	15:50                                	                                     	04:47                                  	03:40                                  	                                       	7,60                     	3,57                     	                         	                                	16:17                           	                                	                                 	03:47                            	                                 	                          	3,8                       	                          
5                      	5408            	1                 	74              	                	09:16                                	15:49                                	                                     	09:39                                  	07:13                                  	                                       	9,95                     	6,98                     	                         	08:46                           	15:33                           	                                	12:07                            	06:37                            	                                 	12,7                      	5,7                       	                          
5                      	4584            	1                 	32              	                	09:11                                	16:12                                	                                     	12:24                                  	11:09                                  	                                       	27,74                    	9,32                     	                         	                                	16:17                           	                                	                                 	12:57                            	                                 	                          	8,8                       	                          
5                      	4572            	1                 	38              	                	09:11                                	16:24                                	                                     	09:38                                  	14:43                                  	                                       	10,69                    	5,72                     	                         	08:46                           	16:16                           	                                	09:50                            	06:39                            	                                 	10,0                      	5,2                       	                          
5                      	4554            	1                 	61              	                	09:12                                	15:49                                	                                     	10:57                                  	11:49                                  	                                       	10,96                    	5,51                     	                         	09:06                           	16:32                           	                                	10:25                            	23:57                            	                                 	11,6                      	6,1                       	                          
5                      	4544            	1                 	40              	                	09:12                                	16:29                                	                                     	10:33                                  	08:45                                  	                                       	5,88                     	5,29                     	                         	08:46                           	16:16                           	                                	10:57                            	11:22                            	                                 	6,8                       	3,0                       	                          
6                      	4426            	2                 	29              	                	07:38                                	16:48                                	                                     	15:18                                  	12:04                                  	                                       	10,80                    	6,24                     	                         	07:44                           	16:50                           	                                	07:49                            	12:56                            	                                 	10,4                      	6,5                       	                          
6                      	2648            	1                 	105             	                	07:39                                	15:13                                	                                     	11:27                                  	10:07                                  	                                       	14,55                    	10,38                    	                         	07:44                           	15:12                           	                                	13:01                            	07:17                            	                                 	16,0                      	8,5                       	                          
6                      	4475            	1                 	95              	                	07:53                                	15:22                                	                                     	07:24                                  	04:43                                  	                                       	14,15                    	6,05                     	                         	08:02                           	15:21                           	                                	07:29                            	05:16                            	                                 	13,1                      	6,7                       	                          
6                      	4477            	2                 	113             	                	07:53                                	15:23                                	                                     	06:32                                  	04:47                                  	                                       	12,65                    	6,09                     	                         	08:02                           	15:21                           	                                	05:47                            	04:43                            	                                 	11,2                      	5,7                       	                          
