Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
4                      	4548            	1                 	88              	                	09:48                                	                                     	                                     	10:05                                  	                                       	                                       	14,46                    	                         	                         	09:36                           	17:06                           	                                	10:58                            	07:25                            	                                 	14,9                      	9,2                       	                          
4                      	4550            	1                 	87              	                	09:02                                	16:13                                	                                     	13:50                                  	08:01                                  	                                       	12,27                    	5,56                     	                         	08:51                           	                                	                                	14:08                            	                                 	                                 	9,7                       	                          	                          
4                      	4065            	1                 	91              	                	08:51                                	15:33                                	                                     	04:29                                  	03:25                                  	                                       	8,10                     	3,35                     	                         	08:53                           	15:50                           	                                	04:47                            	03:40                            	                                 	7,6                       	3,6                       	                          
5                      	5408            	1                 	75              	                	08:51                                	16:28                                	                                     	09:33                                  	07:12                                  	                                       	10,39                    	6,94                     	                         	09:16                           	15:49                           	                                	09:39                            	07:13                            	                                 	10,0                      	7,0                       	                          
5                      	4584            	1                 	33              	                	09:14                                	16:22                                	                                     	14:17                                  	10:16                                  	                                       	11,77                    	7,58                     	                         	09:11                           	16:12                           	                                	12:24                            	11:09                            	                                 	27,7                      	9,3                       	                          
5                      	4572            	1                 	39              	                	09:13                                	16:21                                	                                     	09:35                                  	07:09                                  	                                       	10,33                    	9,97                     	                         	09:11                           	16:24                           	                                	09:38                            	14:43                            	                                 	10,7                      	5,7                       	                          
5                      	4554            	1                 	62              	                	08:51                                	15:32                                	                                     	11:54                                  	18:58                                  	                                       	10,80                    	5,12                     	                         	09:12                           	15:49                           	                                	10:57                            	11:49                            	                                 	11,0                      	5,5                       	                          
5                      	4544            	1                 	41              	                	09:37                                	16:21                                	                                     	16:44                                  	06:45                                  	                                       	10,93                    	6,89                     	                         	09:12                           	16:29                           	                                	10:33                            	08:45                            	                                 	5,9                       	5,3                       	                          
6                      	4426            	2                 	30              	                	07:40                                	16:50                                	                                     	15:01                                  	12:47                                  	                                       	10,08                    	6,32                     	                         	07:38                           	16:48                           	                                	15:18                            	12:04                            	                                 	10,8                      	6,2                       	                          
6                      	2648            	1                 	106             	                	07:40                                	15:15                                	                                     	15:27                                  	08:25                                  	                                       	17,60                    	9,36                     	                         	07:39                           	15:13                           	                                	11:27                            	10:07                            	                                 	14,6                      	10,4                      	                          
6                      	4475            	1                 	96              	                	08:00                                	15:17                                	                                     	07:51                                  	05:33                                  	                                       	13,72                    	6,61                     	                         	07:53                           	15:22                           	                                	07:24                            	04:43                            	                                 	14,2                      	6,1                       	                          
6                      	4477            	2                 	114             	                	07:55                                	15:28                                	                                     	06:17                                  	04:36                                  	                                       	12,73                    	11,92                    	                         	07:53                           	15:23                           	                                	06:32                            	04:47                            	                                 	12,7                      	6,1                       	                          
6                      	4465            	2                 	110             	                	07:42                                	15:17                                	                                     	04:25                                  	05:54                                  	                                       	13,98                    	6,49                     	                         	07:53                           	15:12                           	                                	08:17                            	06:44                            	                                 	14,3                      	6,8                       	                          
6                      	3530            	1                 	93              	                	07:41                                	16:50                                	                                     	09:48                                  	06:49                                  	                                       	13,42                    	9,45                     	                         	07:39                           	16:48                           	                                	10:03                            	08:11                            	                                 	14,0                      	9,2                       	                          
6                      	3458            	1                 	113             	                	07:42                                	15:15                                	                                     	07:43                                  	04:42                                  	                                       	11,88                    	5,93                     	                         	07:40                           	15:13                           	                                	08:52                            	05:04                            	                                 	11,1                      	6,0                       	                          
6                      	3437            	1                 	114             	20,47           	08:01                                	16:48                                	                                     	06:55                                  	07:30                                  	                                       	13,43                    	7,17                     	                         	07:57                           	                                	                                	06:43                            	                                 	                                 	13,1                      	                          	                          
6                      	2560            	2                 	116             	                	07:54                                	15:28                                	                                     	06:45                                  	04:41                                  	                                       	11,30                    	14,19                    	                         	07:53                           	15:22                           	                                	08:18                            	03:56                            	                                 	12,7                      	5,4                       	                          
6                      	2416            	2                 	97              	                	08:07                                	15:28                                	                                     	07:29                                  	05:59                                  	                                       	17,64                    	18,72                    	                         	08:07                           	15:14                           	                                	08:20                            	05:35                            	                                 	18,7                      	8,7                       	                          
7                      	2710            	1                 	104             	                	07:42                                	15:16                                	                                     	05:27                                  	03:59                                  	                                       	11,75                    	5,56                     	                         	07:40                           	15:13                           	                                	06:27                            	06:12                            	                                 	11,3                      	5,7                       	                          
7                      	3600            	1                 	114             	                	07:41                                	15:15                                	                                     	05:33                                  	05:16                                  	                                       	16,82                    	8,11                     	                         	07:39                           	15:12                           	                                	08:47                            	06:08                            	                                 	14,4                      	7,7                       	                          
7                      	3644            	1                 	110             	                	07:40                                	16:51                                	                                     	06:18                                  	04:56                                  	                                       	11,91                    	8,05                     	                         	07:40                           	16:49                           	                                	06:06                            	05:10                            	                                 	12,1                      	8,7                       	                          
7                      	3785            	1                 	107             	25,41           	08:00                                	16:50                                	                                     	07:36                                  	05:48                                  	                                       	16,68                    	9,72                     	                         	07:58                           	                                	                                	08:58                            	                                 	                                 	17,0                      	                          	                          
7                      	4453            	2                 	108             	                	07:54                                	15:28                                	                                     	06:28                                  	05:02                                  	                                       	11,01                    	12,55                    	                         	07:57                           	15:22                           	                                	08:09                            	04:24                            	                                 	12,1                      	5,7                       	                          
7                      	3538            	8                 	114             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
7                      	3460            	1                 	111             	                	07:54                                	15:15                                	                                     	08:31                                  	05:17                                  	                                       	19,93                    	8,71                     	                         	07:39                           	15:13                           	                                	09:08                            	05:59                            	                                 	18,6                      	10,5                      	                          
7                      	2483            	2                 	109             	                	08:07                                	15:16                                	                                     	10:32                                  	10:51                                  	                                       	11,74                    	8,41                     	                         	08:06                           	15:14                           	                                	11:32                            	06:54                            	                                 	12,8                      	6,5                       	                          
7                      	2431            	1                 	115             	24,81           	08:00                                	16:50                                	                                     	06:33                                  	06:03                                  	                                       	13,80                    	9,15                     	                         	07:58                           	                                	                                	06:13                            	                                 	                                 	14,2                      	                          	                          
53                     	53              	1                 	85              	23,56           	                                     	                                     	                                     	                                       	                                       	                                       	591,62                   	377,25                   	                         	                                	                                	                                	                                 	                                 	                                 	602,1                     	327,9                     	                          
[Número do grupo] < '8'	                	                  	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
