Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
1                      	3527            	1                 	118             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	3500            	2                 	115             	14,36                    	7,05                     	                         	08:11                                	15:56                                	                                     	06:51                                  	04:41                                  	                                       	4,88                                      	4,30                                      	0,10                       	0,00                       	1,40                        	1,00                        	2,80                        	2,50                        	3,10                         	2,80                         	2,0                                   	1,5                                   	                           	3,4                                  	                            	3,1                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	3475            	1                 	126             	15,23                    	8,03                     	                         	07:56                                	15:44                                	                                     	08:53                                  	04:41                                  	                                       	4,55                                      	4,08                                      	0,30                       	0,00                       	1,90                        	1,10                        	2,60                        	2,40                        	2,70                         	2,60                         	1,7                                   	1,7                                   	                           	3,1                                  	                            	2,9                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	3424            	1                 	123             	6,22                     	8,15                     	                         	08:19                                	17:03                                	                                     	11:43                                  	14:22                                  	                                       	1,38                                      	1,00                                      	0,60                       	0,10                       	0,70                        	0,10                        	0,70                        	0,50                        	0,70                         	0,70                         	0,3                                   	0,5                                   	                           	1,0                                  	                            	1,1                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	2581            	1                 	151             	17,67                    	8,83                     	                         	07:56                                	15:45                                	                                     	08:21                                  	05:40                                  	                                       	4,18                                      	2,90                                      	0,10                       	0,00                       	1,40                        	0,00                        	2,40                        	1,40                        	2,60                         	2,20                         	2,1                                   	1,5                                   	                           	3,1                                  	                            	2,7                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
1                      	2567            	1                 	116             	13,53                    	9,54                     	                         	07:55                                	17:10                                	                                     	07:08                                  	04:34                                  	                                       	5,18                                      	5,35                                      	0,20                       	0,00                       	1,70                        	1,20                        	2,80                        	3,10                        	3,30                         	3,50                         	1,8                                   	2,0                                   	                           	3,6                                  	                            	3,8                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	2468            	2                 	137             	26,47                    	6,41                     	                         	08:24                                	15:56                                	                                     	07:51                                  	04:29                                  	                                       	0,00                                      	3,40                                      	0,00                       	0,10                       	0,00                        	0,50                        	0,00                        	0,90                        	0,00                         	2,80                         	3,7                                   	1,4                                   	                           	3,4                                  	                            	3,1                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	2406            	2                 	112             	11,99                    	5,72                     	                         	08:18                                	15:45                                	                                     	10:47                                  	06:02                                  	                                       	1,70                                      	1,60                                      	0,00                       	0,00                       	0,00                        	0,00                        	0,80                        	0,40                        	1,30                         	1,40                         	1,1                                   	0,9                                   	                           	1,9                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4586            	1                 	137             	8,28                     	5,21                     	                         	08:40                                	16:11                                	                                     	09:48                                  	06:41                                  	                                       	1,33                                      	1,38                                      	0,00                       	0,10                       	0,10                        	0,00                        	0,60                        	0,70                        	1,00                         	1,00                         	0,8                                   	0,7                                   	                           	1,4                                  	                            	1,6                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
2                      	5402            	1                 	133             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4577            	1                 	130             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4585            	1                 	132             	10,20                    	7,45                     	                         	08:38                                	15:57                                	                                     	06:21                                  	05:14                                  	                                       	2,33                                      	3,18                                      	0,00                       	0,10                       	0,30                        	0,40                        	1,30                        	1,70                        	1,60                         	2,20                         	1,6                                   	1,4                                   	                           	3,0                                  	                            	2,4                                  	                            	                             	1,7                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4575            	1                 	130             	13,95                    	8,03                     	                         	08:39                                	15:57                                	                                     	11:23                                  	09:32                                  	                                       	2,50                                      	1,65                                      	0,10                       	0,00                       	0,50                        	0,00                        	1,50                        	0,70                        	1,60                         	1,30                         	1,2                                   	0,8                                   	                           	2,0                                  	                            	1,7                                  	                            	                             	0,4                                     	                                      	0,2                                     	                                     	                                        	                                          
2                      	4545            	1                 	129             	13,92                    	6,44                     	                         	08:39                                	15:57                                	                                     	09:56                                  	07:16                                  	                                       	3,42                                      	1,15                                      	0,10                       	0,00                       	1,20                        	0,00                        	2,00                        	0,30                        	2,09                         	1,00                         	1,4                                   	0,8                                   	                           	2,6                                  	                            	2,0                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4528            	1                 	127             	6,91                     	3,48                     	                         	08:41                                	15:57                                	                                     	09:55                                  	04:59                                  	                                       	0,83                                      	1,23                                      	0,10                       	0,10                       	0,00                        	0,20                        	0,40                        	0,70                        	0,60                         	0,80                         	0,6                                   	0,6                                   	                           	1,2                                  	                            	1,4                                  	                            	                             	0,0                                     	                                      	0,0                                     	                                     	                                        	                                          
2                      	4536            	1                 	133             	10,39                    	4,34                     	                         	08:40                                	16:11                                	                                     	09:35                                  	05:36                                  	                                       	2,55                                      	1,13                                      	0,10                       	0,10                       	0,30                        	0,00                        	1,30                        	0,40                        	1,80                         	0,90                         	1,0                                   	0,7                                   	                           	2,0                                  	                            	1,8                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4537            	1                 	130             	4,65                     	2,77                     	                         	08:40                                	16:11                                	                                     	04:12                                  	03:25                                  	                                       	3,80                                      	2,30                                      	0,40                       	0,10                       	2,80                        	0,50                        	3,20                        	2,09                        	1,40                         	1,10                         	1,1                                   	0,8                                   	                           	3,7                                  	                            	2,7                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	5409            	1                 	135             	11,61                    	6,24                     	                         	08:58                                	16:21                                	                                     	10:01                                  	05:40                                  	                                       	1,90                                      	2,28                                      	0,00                       	0,00                       	0,00                        	0,10                        	0,80                        	1,10                        	1,50                         	1,70                         	1,1                                   	1,1                                   	                           	2,2                                  	                            	2,0                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
3                      	5403            	1                 	135             	11,55                    	6,14                     	                         	08:58                                	16:12                                	                                     	08:39                                  	06:10                                  	                                       	2,30                                      	0,93                                      	0,10                       	0,10                       	0,50                        	0,00                        	1,30                        	0,00                        	1,50                         	0,90                         	1,3                                   	0,9                                   	                           	2,0                                  	                            	2,0                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4582            	1                 	134             	7,32                     	2,14                     	                         	08:39                                	16:11                                	                                     	09:41                                  	05:31                                  	                                       	1,23                                      	0,38                                      	0,10                       	0,10                       	0,20                        	0,00                        	0,70                        	0,10                        	0,80                         	0,30                         	0,7                                   	0,3                                   	                           	1,3                                  	                            	0,9                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4560            	1                 	136             	16,31                    	7,96                     	                         	08:57                                	16:13                                	                                     	19:19                                  	09:08                                  	                                       	1,80                                      	1,75                                      	0,10                       	0,20                       	0,30                        	0,00                        	0,80                        	0,60                        	1,30                         	1,40                         	0,8                                   	0,8                                   	                           	1,9                                  	                            	1,6                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4551            	1                 	134             	12,76                    	7,11                     	                         	08:56                                	16:21                                	                                     	11:58                                  	07:09                                  	                                       	2,23                                      	2,08                                      	0,00                       	0,10                       	0,50                        	0,40                        	1,40                        	1,30                        	1,40                         	1,30                         	1,0                                   	0,9                                   	                           	1,8                                  	                            	1,7                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4557            	1                 	122             	11,01                    	6,40                     	                         	08:57                                	16:21                                	                                     	18:55                                  	09:52                                  	                                       	1,18                                      	1,05                                      	0,10                       	0,00                       	0,20                        	0,00                        	0,60                        	0,30                        	0,80                         	0,90                         	0,5                                   	0,6                                   	                           	1,2                                  	                            	1,2                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
3                      	4535            	1                 	134             	8,62                     	4,98                     	                         	08:58                                	16:13                                	                                     	08:41                                  	06:13                                  	                                       	1,73                                      	1,33                                      	0,00                       	0,00                       	0,30                        	0,30                        	0,90                        	0,70                        	1,20                         	0,90                         	0,9                                   	0,8                                   	                           	1,5                                  	                            	1,6                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
