Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
1                      	653             	2                 	149             	13,42                    	10,42                    	                         	07:45                                	17:09                                	                                     	06:44                                  	05:17                                  	                                       	4,13                                      	5,08                                      	0,00                       	0,10                       	1,30                        	1,60                        	2,40                        	3,10                        	2,60                         	3,10                         	1,9                                   	1,9                                   	                           	2,9                                  	                            	3,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	2623            	1                 	115             	14,37                    	7,72                     	                         	08:13                                	15:49                                	                                     	07:26                                  	05:02                                  	                                       	4,50                                      	3,80                                      	0,10                       	0,10                       	1,30                        	0,70                        	2,50                        	2,00                        	2,90                         	2,60                         	1,9                                   	1,5                                   	                           	3,2                                  	                            	2,9                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	2624            	2                 	133             	11,58                    	9,02                     	                         	08:12                                	15:49                                	                                     	10:35                                  	10:25                                  	                                       	1,15                                      	1,60                                      	0,00                       	0,10                       	0,00                        	0,10                        	0,50                        	0,70                        	0,90                         	1,20                         	1,0                                   	0,8                                   	                           	1,7                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
1                      	2662            	2                 	162             	                         	7,97                     	                         	                                     	17:20                                	                                     	                                       	06:42                                  	                                       	                                          	3,54                                      	                           	0,30                       	                            	1,30                        	                            	2,09                        	                             	2,09                         	                                      	1,1                                   	                           	                                     	                            	2,3                                  	                            	                             	                                        	                                      	0,2                                     	                                     	                                        	                                          
1                      	3652            	2                 	114             	14,47                    	7,65                     	                         	07:44                                	15:40                                	                                     	05:42                                  	04:35                                  	                                       	4,80                                      	4,05                                      	0,10                       	0,00                       	1,90                        	1,20                        	3,00                        	2,30                        	2,80                         	2,60                         	2,5                                   	1,6                                   	                           	3,2                                  	                            	2,8                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
1                      	4588            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4549            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4498            	1                 	109             	13,48                    	8,55                     	                         	07:46                                	17:09                                	                                     	23:29                                  	15:39                                  	                                       	1,10                                      	0,68                                      	0,00                       	0,10                       	0,00                        	0,00                        	0,60                        	0,30                        	0,80                         	0,50                         	0,8                                   	0,5                                   	                           	1,7                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,8                                     	                                     	                                        	                                          
1                      	4448            	1                 	174             	13,34                    	7,22                     	                         	07:44                                	15:40                                	                                     	09:00                                  	06:18                                  	                                       	2,38                                      	2,05                                      	0,00                       	0,00                       	0,50                        	0,20                        	1,30                        	1,00                        	1,60                         	1,50                         	1,4                                   	1,1                                   	                           	2,2                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
1                      	4412            	2                 	112             	10,13                    	5,13                     	                         	07:44                                	15:38                                	                                     	06:15                                  	04:16                                  	                                       	3,88                                      	3,63                                      	0,00                       	0,00                       	1,30                        	0,90                        	2,30                        	2,00                        	2,40                         	2,40                         	1,6                                   	1,2                                   	                           	2,7                                  	                            	2,6                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
