Número do animal;Número do grupo;Dias em Lactação;Número de lactação;Data;Nome da sala de ordenha;Número da sala de ordenha;Número da sessão;Número do lote;Número de MPC;Hora ID;Hora de início;Duração do leite (mm:ss);Hora do fim;Produção (kg);Produção Relativa (%);Produção primeiros 2 minutos;Produção de LEC;Baixa produção;Segunda volta
4548;4;134;1;10/05/2017;Parlor1;1;3;1;4;;10/05/2017 15:44;06:23;15:50;2,23;227,00;1,78;;Unchecked;Unchecked
4583;4;135;1;10/05/2017;Parlor1;1;3;1;2;;10/05/2017 15:43;06:39;15:50;2,53;221,00;1,78;;Unchecked;Unchecked
4573;4;132;1;10/05/2017;Parlor1;1;3;1;1;;10/05/2017 15:44;06:49;15:51;1,03;177,00;0,78;;Unchecked;Unchecked
5407;4;133;1;10/05/2017;Parlor1;1;3;2;8;;10/05/2017 15:46;07:24;15:53;1,76;204,00;1,18;;Unchecked;Unchecked
4065;4;137;1;10/05/2017;Parlor1;1;3;2;7;;10/05/2017 15:46;08:44;15:55;0,82;234,00;1,52;;Unchecked;Unchecked
4546;4;134;1;10/05/2017;Parlor1;1;3;2;6;;10/05/2017 15:46;13:49;16:00;2,65;81,00;3,80;;Unchecked;Unchecked
4581;4;134;1;10/05/2017;Parlor1;1;3;2;5;;10/05/2017 16:07;09:06;16:16;2,67;200,00;3,50;;Unchecked;Unchecked
5409;3;130;1;10/05/2017;Parlor1;1;3;3;3;;10/05/2017 15:56;04:48;16:00;1,30;97,00;1,05;;Unchecked;Unchecked
5402;2;128;1;10/05/2017;Parlor1;1;3;3;4;;10/05/2017 15:55;07:22;16:03;1,87;100,00;1,78;;Unchecked;Unchecked
4066;3;132;1;10/05/2017;Parlor1;1;3;3;2;;10/05/2017 15:55;06:10;16:01;3,35;200,00;1,43;;Unchecked;Unchecked
4587;4;137;1;10/05/2017;Parlor1;1;3;3;1;;10/05/2017 15:55;09:38;16:04;3,57;200,00;1,08;;Unchecked;Unchecked
4536;2;128;1;10/05/2017;Parlor1;1;3;4;3;;10/05/2017 16:16;12:41;16:28;1,62;100,00;0,55;;Unchecked;Unchecked
4582;3;129;1;10/05/2017;Parlor1;1;3;4;4;;10/05/2017 16:16;12:13;16:28;1,84;100,00;0,93;;Unchecked;Unchecked
4585;2;127;1;10/05/2017;Parlor1;1;3;4;2;;10/05/2017 16:16;11:57;16:28;1,30;100,00;0,18;;Unchecked;Unchecked
4525;3;129;1;10/05/2017;Parlor1;1;3;4;1;;10/05/2017 16:15;12:38;16:28;1,19;163,00;0,63;;Unchecked;Unchecked
4551;3;129;1;10/05/2017;Parlor1;1;3;0;5;;10/05/2017 16:08;30:22;16:39;0,00;0,00;0,75;;Unchecked;Unchecked
4560;3;131;1;10/05/2017;Parlor1;1;3;0;6;;10/05/2017 16:09;18:27;16:27;0,00;0,00;0,03;;Unchecked;Unchecked
5403;3;130;1;10/05/2017;Parlor1;1;3;0;7;;10/05/2017 16:09;12:59;16:22;0,00;0,00;1,40;;Unchecked;Unchecked
4535;3;129;1;10/05/2017;Parlor1;1;3;0;8;;10/05/2017 16:08;15:00;16:23;0,00;0,00;0,60;;Unchecked;Unchecked
4586;2;132;1;10/05/2017;Parlor1;1;3;0;5;;10/05/2017 16:30;08:00;16:38;0,00;0,00;0,00;;Unchecked;Unchecked
4535;3;129;1;11/05/2017;Parlor1;1;1;3;2;;11/05/2017 08:58;17:10;09:15;4,54;114,00;1,33;;Unchecked;Unchecked
5403;3;130;1;11/05/2017;Parlor1;1;1;1;5;;11/05/2017 09:10;12:59;09:23;0,00;0,00;0,00;;Checked;Unchecked
4560;3;131;1;11/05/2017;Parlor1;1;1;3;4;;11/05/2017 08:59;16:25;09:15;9,36;200,00;1,18;;Unchecked;Unchecked
4586;2;132;1;11/05/2017;Parlor1;1;1;1;5;;11/05/2017 09:38;15:05;09:53;0,00;0,00;0,00;;Checked;Unchecked
4573;4;132;1;11/05/2017;Parlor1;1;1;2;3;;11/05/2017 08:26;10:17;08:37;4,31;116,00;1,13;;Unchecked;Unchecked
4587;4;137;1;11/05/2017;Parlor1;1;1;2;4;;11/05/2017 08:27;16:03;08:43;9,08;150,00;0,85;;Unchecked;Unchecked
4550;4;133;1;11/05/2017;Parlor1;1;1;2;2;;11/05/2017 08:26;18:33;08:45;13,41;213,00;1,05;;Unchecked;Unchecked
4548;4;134;1;11/05/2017;Parlor1;1;1;2;1;;11/05/2017 08:26;18:50;08:45;15,09;226,00;2,50;;Unchecked;Unchecked
4066;3;132;1;11/05/2017;Parlor1;1;1;3;3;;11/05/2017 08:58;14:51;09:13;6,97;117,00;0,85;;Unchecked;Unchecked
