Animal Number,Group Number,Days In Milk,Lactation Number,Date,Parlor Name,Parlor Number,Session Number,Batch Number,MPC Number,Id Time,Begin Time,Milk duration (mm:ss),End Time,Yield,Rel. Yield (%),Yield First 2 Min.,ECM Yield,Low Yield,Second Lap
5402,2,51,1,5/10/2017,Parlor1,1,2,0,3,,5/10/2017 1:24 PM,11:05,1:35 PM,3.11,0.00,1.70,,Unchecked,Unchecked
4586,2,55,1,5/10/2017,Parlor1,1,2,0,5,,5/10/2017 1:58 PM,09:06,2:08 PM,0.00,0.00,0.55,,Unchecked,Unchecked
4550,4,56,1,5/10/2017,Parlor1,1,3,1,3,,5/10/2017 3:45 PM,06:26,3:51 PM,2.20,252.00,1.00,,Unchecked,Unchecked
4548,4,57,1,5/10/2017,Parlor1,1,3,1,4,,5/10/2017 3:44 PM,06:23,3:50 PM,2.23,227.00,1.78,,Unchecked,Unchecked
4583,4,58,1,5/10/2017,Parlor1,1,3,1,2,,5/10/2017 3:43 PM,06:39,3:50 PM,2.53,221.00,1.78,,Unchecked,Unchecked
4573,4,55,1,5/10/2017,Parlor1,1,3,1,1,,5/10/2017 3:44 PM,06:49,3:51 PM,1.03,177.00,0.78,,Unchecked,Unchecked
5407,4,56,1,5/10/2017,Parlor1,1,3,2,8,,5/10/2017 3:46 PM,07:24,3:53 PM,1.76,204.00,1.18,,Unchecked,Unchecked
4065,4,60,1,5/10/2017,Parlor1,1,3,2,7,,5/10/2017 3:46 PM,08:44,3:55 PM,0.82,234.00,1.52,,Unchecked,Unchecked
4546,4,57,1,5/10/2017,Parlor1,1,3,2,6,,5/10/2017 3:46 PM,13:49,4:00 PM,2.65,81.00,3.80,,Unchecked,Unchecked
4581,4,57,1,5/10/2017,Parlor1,1,3,2,5,,5/10/2017 4:07 PM,09:06,4:16 PM,2.67,200.00,3.50,,Unchecked,Unchecked
5409,3,53,1,5/10/2017,Parlor1,1,3,3,3,,5/10/2017 3:56 PM,04:48,4:00 PM,1.30,97.00,1.05,,Unchecked,Unchecked
5402,2,51,1,5/10/2017,Parlor1,1,3,3,4,,5/10/2017 3:55 PM,07:22,4:03 PM,1.87,100.00,1.78,,Unchecked,Unchecked
4066,3,55,1,5/10/2017,Parlor1,1,3,3,2,,5/10/2017 3:55 PM,06:10,4:01 PM,3.35,200.00,1.43,,Unchecked,Unchecked
4587,4,60,1,5/10/2017,Parlor1,1,3,3,1,,5/10/2017 3:55 PM,09:38,4:04 PM,3.57,200.00,1.08,,Unchecked,Unchecked
4536,2,51,1,5/10/2017,Parlor1,1,3,4,3,,5/10/2017 4:16 PM,12:41,4:28 PM,1.62,100.00,0.55,,Unchecked,Unchecked
4582,3,52,1,5/10/2017,Parlor1,1,3,4,4,,5/10/2017 4:16 PM,12:13,4:28 PM,1.84,100.00,0.93,,Unchecked,Unchecked
