Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	653             	2                 	105             	                	07:53                                	15:22                                	                                     	07:26                                  	04:29                                  	                                       	14,36                    	6,96                     	                         	08:00                           	15:22                           	                                	08:45                            	05:57                            	                                 	14,1                      	2,2                       	                          
1                      	2623            	1                 	71              	                	07:40                                	15:24                                	                                     	09:35                                  	04:46                                  	                                       	12,08                    	7,21                     	                         	07:46                           	15:21                           	                                	09:24                            	04:23                            	                                 	12,3                      	6,7                       	                          
1                      	2624            	2                 	89              	                	07:38                                	15:21                                	                                     	13:44                                  	10:43                                  	                                       	14,57                    	10,57                    	                         	07:46                           	15:21                           	                                	15:10                            	12:42                            	                                 	15,1                      	10,8                      	                          
1                      	2662            	2                 	118             	                	07:40                                	15:24                                	                                     	06:43                                  	04:13                                  	                                       	11,53                    	5,95                     	                         	07:47                           	15:22                           	                                	07:38                            	06:25                            	                                 	12,2                      	5,3                       	                          
1                      	3652            	2                 	70              	                	08:06                                	15:38                                	                                     	05:33                                  	03:20                                  	                                       	11,13                    	4,83                     	                         	08:12                           	15:37                           	                                	04:33                            	03:30                            	                                 	7,1                       	5,1                       	                          
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4498            	1                 	65              	                	08:06                                	15:48                                	                                     	16:08                                  	14:09                                  	                                       	11,52                    	7,31                     	                         	08:13                           	15:37                           	                                	14:58                            	16:23                            	                                 	11,1                      	11,9                      	                          
1                      	4448            	1                 	130             	                	07:39                                	15:36                                	                                     	11:14                                  	07:16                                  	                                       	12,40                    	6,82                     	                         	07:47                           	15:23                           	                                	10:23                            	05:45                            	                                 	7,5                       	6,0                       	                          
1                      	4412            	2                 	68              	                	07:57                                	15:36                                	                                     	06:53                                  	04:26                                  	                                       	9,00                     	4,71                     	                         	08:04                           	15:42                           	                                	07:03                            	04:20                            	                                 	9,0                       	5,3                       	                          
