Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	653             	2                 	125             	                	07:46                                	15:37                                	                                     	09:02                                  	04:03                                  	                                       	14,99                    	7,88                     	                         	07:44                           	15:40                           	                                	08:34                            	04:56                            	                                 	15,2                      	8,6                       	                          
1                      	2623            	1                 	91              	                	08:07                                	15:55                                	                                     	06:44                                  	05:50                                  	                                       	12,74                    	8,14                     	                         	07:56                           	15:48                           	                                	06:57                            	05:33                            	                                 	13,4                      	7,7                       	                          
1                      	2624            	2                 	109             	                	08:00                                	15:56                                	                                     	12:52                                  	10:33                                  	                                       	13,41                    	9,90                     	                         	08:03                           	15:48                           	                                	12:39                            	07:52                            	                                 	12,4                      	8,8                       	                          
1                      	2662            	2                 	138             	                	09:41                                	                                     	                                     	07:52                                  	                                       	                                       	12,71                    	                         	                         	09:38                           	17:11                           	                                	08:16                            	05:19                            	                                 	13,3                      	6,4                       	                          
1                      	3652            	2                 	90              	                	07:46                                	15:38                                	                                     	07:15                                  	04:26                                  	                                       	12,81                    	6,44                     	                         	07:45                           	15:39                           	                                	06:05                            	04:20                            	                                 	11,1                      	7,0                       	                          
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4498            	1                 	85              	                	07:43                                	15:35                                	                                     	07:17                                  	15:42                                  	                                       	14,19                    	6,33                     	                         	07:42                           	15:35                           	                                	17:47                            	17:38                            	                                 	14,1                      	7,8                       	                          
1                      	4448            	1                 	150             	                	07:53                                	15:37                                	                                     	10:40                                  	07:24                                  	                                       	12,42                    	6,97                     	                         	07:43                           	15:35                           	                                	11:37                            	07:10                            	                                 	13,3                      	6,7                       	                          
1                      	4412            	2                 	88              	                	07:45                                	15:37                                	                                     	13:22                                  	04:25                                  	                                       	9,70                     	4,96                     	                         	07:44                           	15:36                           	                                	06:16                            	04:38                            	                                 	9,6                       	5,3                       	                          
