Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
2                      	4545            	1                 	104             	23,76           	08:28                                	15:59                                	                                     	11:28                                  	05:41                                  	                                       	13,25                    	5,31                     	                         	08:25                           	15:54                           	                                	07:45                            	06:55                            	                                 	12,3                      	6,0                       	                          
2                      	4528            	1                 	102             	8,05            	08:30                                	16:05                                	                                     	09:12                                  	07:29                                  	                                       	7,70                     	3,73                     	                         	08:26                           	15:59                           	                                	09:02                            	06:47                            	                                 	7,7                       	4,0                       	                          
2                      	4536            	1                 	108             	24,00           	08:30                                	16:05                                	                                     	10:33                                  	06:35                                  	                                       	10,71                    	6,10                     	                         	08:25                           	15:58                           	                                	09:34                            	06:47                            	                                 	10,7                      	6,3                       	                          
2                      	4537            	1                 	105             	15,82           	08:29                                	15:59                                	                                     	05:13                                  	02:49                                  	                                       	3,44                     	1,52                     	                         	08:25                           	15:57                           	                                	04:49                            	04:57                            	                                 	3,4                       	2,4                       	                          
3                      	5409            	1                 	110             	22,53           	08:49                                	16:12                                	                                     	14:54                                  	04:24                                  	                                       	18,38                    	4,71                     	                         	08:47                           	16:08                           	                                	07:38                            	05:17                            	                                 	9,8                       	5,1                       	                          
3                      	5403            	1                 	110             	25,92           	08:46                                	16:12                                	                                     	07:15                                  	04:13                                  	                                       	11,35                    	4,89                     	                         	08:44                           	16:11                           	                                	06:28                            	04:24                            	                                 	10,9                      	5,5                       	                          
3                      	4582            	1                 	109             	22,70           	08:28                                	16:04                                	                                     	10:08                                  	06:57                                  	                                       	8,90                     	4,14                     	                         	08:25                           	15:54                           	                                	09:27                            	06:06                            	                                 	7,3                       	4,3                       	                          
3                      	4560            	1                 	111             	48,51           	08:50                                	16:17                                	                                     	08:20                                  	10:29                                  	                                       	14,19                    	9,28                     	                         	08:44                           	16:22                           	                                	14:43                            	11:43                            	                                 	16,6                      	8,8                       	                          
3                      	4551            	1                 	109             	24,88           	08:46                                	16:13                                	                                     	13:18                                  	06:47                                  	                                       	14,19                    	6,26                     	                         	08:46                           	16:11                           	                                	12:15                            	06:35                            	                                 	12,3                      	5,6                       	                          
3                      	4557            	1                 	97              	                	08:50                                	16:17                                	                                     	09:15                                  	11:44                                  	                                       	12,65                    	8,40                     	                         	08:45                           	16:07                           	                                	14:52                            	16:02                            	                                 	11,1                      	10,8                      	                          
3                      	4535            	1                 	109             	12,30           	08:46                                	16:18                                	                                     	10:22                                  	06:35                                  	                                       	9,07                     	4,50                     	                         	08:47                           	16:11                           	                                	09:01                            	04:43                            	                                 	8,9                       	4,0                       	                          
3                      	4525            	1                 	109             	18,94           	08:46                                	16:17                                	                                     	07:50                                  	04:34                                  	                                       	10,03                    	4,48                     	                         	08:44                           	16:11                           	                                	07:51                            	06:03                            	                                 	10,1                      	4,1                       	                          
