,Id_Animal,Hora_x,Producao,Data_x,Sessao,Timestamp,Fase,Data_y,Dia_Experimento,Dieta,Trat,Periodo,Hora_y,Temp_Vaginal
34,2468.0,2017-09-16 08:00:00,14.11,16/09/2017,S1,2017-09-16 08:00:00,2,2017-09-16 00:00:00,15,2,2,1,08:00:00,38.75
35,2406.0,2017-09-16 08:30:00,10.83,16/09/2017,S1,2017-09-16 08:30:00,2,2017-09-16 00:00:00,15,2,2,1,08:30:00,38.75
36,3652.0,2017-09-15 08:00:00,12.95,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,3,1,08:00:00,38.375
37,653.0,2017-09-15 08:00:00,15.15,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,1,1,08:00:00,
38,2623.0,2017-09-15 08:30:00,14.65,15/09/2017,S1,2017-09-15 08:30:00,2,2017-09-15 00:00:00,14,2,2,1,08:30:00,38.75
39,2624.0,2017-09-15 08:00:00,11.94,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,2,3,1,08:00:00,38.75
40,2662.0,2017-09-15 08:00:00,14.45,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,2,1,1,08:00:00,38.5
41,4498.0,2017-09-15 08:00:00,10.5,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,1,1,08:00:00,38.625
42,4448.0,2017-09-15 08:00:00,14.16,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,3,1,08:00:00,38.75
43,4412.0,2017-09-15 08:00:00,11.17,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,2,1,08:00:00,38.5
44,4421.0,2017-09-15 10:00:00,6.86,15/09/2017,S1,2017-09-15 10:00:00,2,2017-09-15 00:00:00,14,2,3,1,10:00:00,39.0
45,4021.0,2017-09-15 08:30:00,14.31,15/09/2017,S1,2017-09-15 08:30:00,2,2017-09-15 00:00:00,14,2,1,1,08:30:00,38.5
46,3579.0,2017-09-15 08:00:00,13.12,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,2,1,08:00:00,39.125
47,3500.0,2017-09-15 08:30:00,14.65,15/09/2017,S1,2017-09-15 08:30:00,2,2017-09-15 00:00:00,14,2,3,1,08:30:00,38.625
48,3475.0,2017-09-15 08:00:00,13.2,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,2,1,08:00:00,
49,3424.0,2017-09-15 08:00:00,6.68,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,2,1,1,08:00:00,38.25
50,2581.0,2017-09-15 08:00:00,30.87,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,3,1,08:00:00,38.5
51,2567.0,2017-09-15 08:00:00,14.77,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,1,1,1,08:00:00,38.625
52,2468.0,2017-09-15 08:30:00,13.66,15/09/2017,S1,2017-09-15 08:30:00,2,2017-09-15 00:00:00,14,2,2,1,08:30:00,38.75
53,2406.0,2017-09-15 08:00:00,10.26,15/09/2017,S1,2017-09-15 08:00:00,2,2017-09-15 00:00:00,14,2,2,1,08:00:00,38.625
54,3652.0,2017-09-19 08:00:00,13.94,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,3,1,08:00:00,38.625
55,653.0,2017-09-19 08:30:00,13.74,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,1,1,1,08:30:00,38.875
56,2623.0,2017-09-19 08:00:00,15.19,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,2,2,1,08:00:00,38.875
57,2624.0,2017-09-19 08:30:00,14.97,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,3,1,08:30:00,31.125
58,2662.0,2017-09-19 08:00:00,9.3,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,2,1,1,08:00:00,39.25
59,4498.0,2017-09-19 08:00:00,12.47,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,1,1,08:00:00,38.875
60,4448.0,2017-09-19 08:00:00,13.19,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,3,1,08:00:00,38.625
61,4412.0,2017-09-19 08:00:00,10.1,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,2,1,08:00:00,38.375
62,4421.0,2017-09-19 08:30:00,22.63,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,3,1,08:30:00,38.75
63,4021.0,2017-09-19 08:30:00,14.39,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,1,1,08:30:00,38.75
64,3579.0,2017-09-19 08:00:00,13.22,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,2,1,08:00:00,39.25
65,3500.0,2017-09-19 08:00:00,14.36,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,2,3,1,08:00:00,38.375
66,3475.0,2017-09-19 08:00:00,15.23,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,2,1,08:00:00,38.75
67,3424.0,2017-09-19 08:30:00,6.22,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,1,1,08:30:00,39.5
68,2581.0,2017-09-19 08:00:00,17.67,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,3,1,08:00:00,38.875
69,2567.0,2017-09-19 08:00:00,13.53,19/09/2017,S1,2017-09-19 08:00:00,2,2017-09-19 00:00:00,18,1,1,1,08:00:00,
70,2468.0,2017-09-19 08:30:00,26.47,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,2,1,08:30:00,39.375
71,2406.0,2017-09-19 08:30:00,11.99,19/09/2017,S1,2017-09-19 08:30:00,2,2017-09-19 00:00:00,18,2,2,1,08:30:00,38.625
72,3652.0,2017-09-17 08:00:00,13.87,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,3,1,08:00:00,38.875
73,653.0,2017-09-17 08:00:00,10.42,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,1,1,08:00:00,38.5
74,2623.0,2017-09-17 08:30:00,15.02,17/09/2017,S1,2017-09-17 08:30:00,2,2017-09-17 00:00:00,16,2,2,1,08:30:00,38.625
75,2624.0,2017-09-17 08:00:00,13.06,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,2,3,1,08:00:00,38.625
76,2662.0,2017-09-17 08:00:00,4.84,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,2,1,1,08:00:00,39.25
77,4498.0,2017-09-17 08:00:00,12.07,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,1,1,08:00:00,38.625
78,4448.0,2017-09-17 08:00:00,13.84,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,3,1,08:00:00,38.875
79,4412.0,2017-09-17 08:00:00,10.66,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,2,1,08:00:00,38.5
80,4421.0,2017-09-17 08:30:00,8.15,17/09/2017,S1,2017-09-17 08:30:00,2,2017-09-17 00:00:00,16,2,3,1,08:30:00,39.0
81,4021.0,2017-09-17 08:30:00,14.24,17/09/2017,S1,2017-09-17 08:30:00,2,2017-09-17 00:00:00,16,2,1,1,08:30:00,39.25
82,3579.0,2017-09-17 08:00:00,13.72,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,2,1,08:00:00,39.125
83,3500.0,2017-09-17 08:30:00,15.39,17/09/2017,S1,2017-09-17 08:30:00,2,2017-09-17 00:00:00,16,2,3,1,08:30:00,38.25
84,3475.0,2017-09-17 08:00:00,15.49,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,2,1,08:00:00,39.0
85,3424.0,2017-09-17 08:00:00,9.7,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,2,1,1,08:00:00,39.0
86,2581.0,2017-09-17 08:00:00,17.95,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,3,1,08:00:00,38.625
87,2567.0,2017-09-17 08:00:00,14.99,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,1,1,1,08:00:00,39.0
88,2468.0,2017-09-17 08:30:00,14.34,17/09/2017,S1,2017-09-17 08:30:00,2,2017-09-17 00:00:00,16,2,2,1,08:30:00,38.75
89,2406.0,2017-09-17 08:00:00,12.15,17/09/2017,S1,2017-09-17 08:00:00,2,2017-09-17 00:00:00,16,2,2,1,08:00:00,38.5
90,3652.0,2017-09-20 08:30:00,14.32,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,1,3,1,08:30:00,38.75
91,653.0,2017-09-20 08:00:00,13.62,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,1,1,08:00:00,38.625
