Column1;Id_Animal;Hora_S1;Hora_S2;Hora_S3;Prod_S1;Prod_S2;Prod_S3;Data
11;40210;08:30:00;15:30:00;                                     ;1343;540;                         ;03/09/2017
12;35790;08:00:00;15:30:00;                                     ;1271;734;                         ;03/09/2017
13;35270;;;                                     ;;;                         ;03/09/2017
14;35000;08:00:00;15:30:00;                                     ;1316;621;                         ;03/09/2017
15;34750;08:00:00;15:30:00;                                     ;1433;699;                         ;03/09/2017
16;34240;08:30:00;15:30:00;                                     ;779;730;                         ;03/09/2017
17;25810;09:30:00;17:00:00;                                     ;1793;733;                         ;03/09/2017
18;25670;08:00:00;15:30:00;                                     ;1578;742;                         ;03/09/2017
19;24680;08:00:00;15:30:00;                                     ;1247;589;                         ;03/09/2017
20;24060;08:00:00;15:30:00;                                     ;1185;541;                         ;03/09/2017
21;45860;08:30:00;16:00:00;                                     ;764;540;                         ;03/09/2017
22;54020;;;                                     ;;;                         ;03/09/2017
23;45770;;;                                     ;;;                         ;03/09/2017
24;45850;08:30:00;16:00:00;                                     ;957;621;                         ;03/09/2017
25;45750;;16:00:00;                                     ;;622;                         ;03/09/2017
26;45450;08:30:00;16:00:00;                                     ;1251;617;                         ;03/09/2017
27;45280;08:30:00;16:00:00;                                     ;1422;364;                         ;03/09/2017
28;45360;08:30:00;16:00:00;                                     ;1007;604;                         ;03/09/2017
29;45370;08:30:00;16:00:00;                                     ;477;275;                         ;03/09/2017
30;54090;08:30:00;16:00:00;                                     ;1096;550;                         ;03/09/2017
31;54030;08:30:00;16:00:00;                                     ;1031;672;                         ;03/09/2017
32;45820;08:30:00;16:00:00;                                     ;788;347;                         ;03/09/2017
33;45600;09:00:00;16:00:00;                                     ;1579;826;                         ;03/09/2017
34;45510;08:30:00;16:00:00;                                     ;1325;780;                         ;03/09/2017
35;45570;09:00:00;16:00:00;                                     ;1213;796;                         ;03/09/2017
36;45350;09:00:00;16:00:00;                                     ;2001;512;                         ;03/09/2017
37;45250;09:00:00;16:00:00;                                     ;799;429;                         ;03/09/2017
38;40660;08:30:00;16:00:00;                                     ;742;685;                         ;03/09/2017
39;54070;09:30:00;16:30:00;                                     ;836;755;                         ;03/09/2017
40;45870;;;                                     ;;;                         ;03/09/2017
41;45810;09:00:00;;                                     ;1193;;                         ;03/09/2017
42;45830;09:00:00;16:30:00;                                     ;853;444;                         ;03/09/2017
43;45730;;;                                     ;;;                         ;03/09/2017
44;45480;09:30:00;16:30:00;                                     ;2465;941;                         ;03/09/2017
45;45500;09:30:00;16:30:00;                                     ;2311;517;                         ;03/09/2017
46;45460;09:30:00;;                                     ;2125;;                         ;03/09/2017
47;40650;09:00:00;;                                     ;803;;                         ;03/09/2017
48;54080;09:30:00;16:30:00;                                     ;951;687;                         ;03/09/2017
49;45840;09:30:00;16:30:00;                                     ;1161;686;                         ;03/09/2017
50;45720;09:30:00;16:30:00;                                     ;801;521;                         ;03/09/2017
51;45540;;;                                     ;;;                         ;03/09/2017
52;45440;;16:30:00;                                     ;;460;                         ;03/09/2017
53;26480;;;                                     ;;;                         ;03/09/2017
54;44260;;;                                     ;;;                         ;03/09/2017
55;44750;;;                                     ;;;                         ;03/09/2017
56;44770;;;                                     ;;;                         ;03/09/2017
57;44650;;;                                     ;;;                         ;03/09/2017
58;35300;;;                                     ;;;                         ;03/09/2017
59;34580;;;                                     ;;;                         ;03/09/2017
60;34370;;;                                     ;;;                         ;03/09/2017
61;25600;;;                                     ;;;                         ;03/09/2017
62;24160;;;                                     ;;;                         ;03/09/2017
63;27100;;;                                     ;;;                         ;03/09/2017
64;36000;;;                                     ;;;                         ;03/09/2017
65;36440;;;                                     ;;;                         ;03/09/2017
66;37850;;;                                     ;;;                         ;03/09/2017
67;44530;;;                                     ;;;                         ;03/09/2017
68;35380;;;                                     ;;;                         ;03/09/2017
69;34600;;;                                     ;;;                         ;03/09/2017
70;24830;;;                                     ;;;                         ;03/09/2017
71;24310;;;                                     ;;;                         ;03/09/2017
0;6530;08:00:00;15:30:00;                                     ;1464;864;                         ;04/09/2017
1;26230;08:00:00;15:30:00;                                     ;1245;799;                         ;04/09/2017
2;26240;08:00:00;15:30:00;                                     ;1336;1092;                         ;04/09/2017
3;26620;08:00:00;15:30:00;                                     ;1324;705;                         ;04/09/2017
4;36520;08:00:00;15:30:00;                                     ;765;642;                         ;04/09/2017
5;45880;;;                                     ;;;                         ;04/09/2017
6;45490;;;                                     ;;;                         ;04/09/2017
7;44980;08:00:00;15:30:00;                                     ;1427;931;                         ;04/09/2017
8;44480;08:00:00;15:30:00;                                     ;1338;638;                         ;04/09/2017
9;44120;08:00:00;15:30:00;                                     ;1074;500;                         ;04/09/2017
10;44210;;15:30:00;                                     ;;426;                         ;04/09/2017
11;40210;;15:30:00;                                     ;;734;                         ;04/09/2017
12;35790;08:00:00;15:30:00;                                     ;1288;714;                         ;04/09/2017
13;35270;;;                                     ;;;                         ;04/09/2017
14;35000;08:00:00;15:30:00;                                     ;1401;660;                         ;04/09/2017
15;34750;08:00:00;15:30:00;                                     ;1440;711;                         ;04/09/2017
16;34240;08:00:00;15:30:00;                                     ;791;537;                         ;04/09/2017
17;25810;08:00:00;15:30:00;                                     ;2874;781;                         ;04/09/2017
18;25670;08:00:00;15:30:00;                                     ;1693;727;                         ;04/09/2017
19;24680;08:00:00;15:30:00;                                     ;2040;588;                         ;04/09/2017
20;24060;08:00:00;15:30:00;                                     ;1140;520;                         ;04/09/2017
21;45860;08:30:00;16:00:00;                                     ;827;514;                         ;04/09/2017
22;54020;;;                                     ;;;                         ;04/09/2017
23;45770;;;                                     ;;;                         ;04/09/2017
24;45850;08:30:00;16:00:00;                                     ;1108;561;                         ;04/09/2017
25;45750;08:30:00;16:00:00;                                     ;1523;624;                         ;04/09/2017
26;45450;08:30:00;16:00:00;                                     ;1406;637;                         ;04/09/2017
27;45280;08:30:00;16:00:00;                                     ;687;549;                         ;04/09/2017
28;45360;08:30:00;16:00:00;                                     ;1044;611;                         ;04/09/2017
29;45370;08:30:00;16:00:00;                                     ;459;292;                         ;04/09/2017
30;54090;09:00:00;16:00:00;                                     ;1157;611;                         ;04/09/2017
31;54030;09:00:00;16:00:00;                                     ;1239;643;                         ;04/09/2017
32;45820;08:30:00;16:00:00;                                     ;817;349;                         ;04/09/2017
33;45600;09:00:00;16:00:00;                                     ;1532;866;                         ;04/09/2017
34;45510;09:00:00;16:00:00;                                     ;1359;722;                         ;04/09/2017
35;45570;09:00:00;16:00:00;                                     ;1213;854;                         ;04/09/2017
36;45350;09:00:00;16:00:00;                                     ;2001;482;                         ;04/09/2017
37;45250;09:00:00;16:00:00;                                     ;902;492;                         ;04/09/2017
38;40660;09:00:00;16:00:00;                                     ;742;689;                         ;04/09/2017
39;54070;09:00:00;16:30:00;                                     ;1375;758;                         ;04/09/2017
40;45870;;16:30:00;                                     ;;430;                         ;04/09/2017
41;45810;09:00:00;16:30:00;                                     ;1129;789;                         ;04/09/2017
42;45830;09:00:00;16:30:00;                                     ;1034;372;                         ;04/09/2017
43;45730;;;                                     ;;;                         ;04/09/2017
44;45480;09:00:00;16:30:00;                                     ;1600;980;                         ;04/09/2017
45;45500;09:00:00;16:30:00;                                     ;1180;539;                         ;04/09/2017
46;45460;09:00:00;;                                     ;1338;;                         ;04/09/2017
47;40650;09:00:00;16:30:00;                                     ;742;367;                         ;04/09/2017
48;54080;09:30:00;16:30:00;                                     ;1241;1317;                         ;04/09/2017
49;45840;09:30:00;16:30:00;                                     ;1217;710;                         ;04/09/2017
50;45720;09:30:00;16:30:00;                                     ;901;509;                         ;04/09/2017
51;45540;;16:30:00;                                     ;;956;                         ;04/09/2017
52;45440;09:30:00;16:30:00;                                     ;887;489;                         ;04/09/2017
53;26480;;;                                     ;;;                         ;04/09/2017
54;44260;;;                                     ;;;                         ;04/09/2017
55;44750;;;                                     ;;;                         ;04/09/2017
56;44770;;;                                     ;;;                         ;04/09/2017
57;44650;;;                                     ;;;                         ;04/09/2017
58;35300;;;                                     ;;;                         ;04/09/2017
59;34580;;;                                     ;;;                         ;04/09/2017
60;34370;;;                                     ;;;                         ;04/09/2017
61;25600;;;                                     ;;;                         ;04/09/2017
62;24160;;;                                     ;;;                         ;04/09/2017
63;27100;;;                                     ;;;                         ;04/09/2017
64;36000;;;                                     ;;;                         ;04/09/2017
65;36440;;;                                     ;;;                         ;04/09/2017
66;37850;;;                                     ;;;                         ;04/09/2017
67;44530;;;                                     ;;;                         ;04/09/2017
68;35380;;;                                     ;;;                         ;04/09/2017
69;34600;;;                                     ;;;                         ;04/09/2017
70;24830;;;                                     ;;;                         ;04/09/2017
71;24310;;;                                     ;;;                         ;04/09/2017
0;6530;08:00:00;15:00:00;                                     ;1453;892;                         ;05/09/2017
1;26230;08:00:00;15:30:00;                                     ;1360;857;                         ;05/09/2017
2;26240;08:00:00;15:30:00;                                     ;1477;972;                         ;05/09/2017
3;26620;08:30:00;15:30:00;                                     ;1345;681;                         ;05/09/2017
4;36520;08:00:00;15:00:00;                                     ;1082;666;                         ;05/09/2017
5;45880;;;                                     ;;;                         ;05/09/2017
6;45490;;;                                     ;;;                         ;05/09/2017
7;44980;08:00:00;15:00:00;                                     ;1515;781;                         ;05/09/2017
8;44480;08:00:00;15:00:00;                                     ;1333;581;                         ;05/09/2017
9;44120;08:00:00;15:00:00;                                     ;1043;488;                         ;05/09/2017
10;44210;08:00:00;15:30:00;                                     ;759;426;                         ;05/09/2017
11;40210;08:30:00;15:30:00;                                     ;1378;629;                         ;05/09/2017
12;35790;08:00:00;15:00:00;                                     ;1349;737;                         ;05/09/2017
13;35270;;;                                     ;;;                         ;05/09/2017
14;35000;08:00:00;15:30:00;                                     ;1368;640;                         ;05/09/2017
15;34750;08:00:00;15:00:00;                                     ;1563;774;                         ;05/09/2017
16;34240;08:00:00;15:30:00;                                     ;835;562;                         ;05/09/2017
17;25810;08:00:00;15:30:00;                                     ;1818;676;                         ;05/09/2017
18;25670;08:00:00;15:00:00;                                     ;1596;809;                         ;05/09/2017
19;24680;08:00:00;15:30:00;                                     ;1293;552;                         ;05/09/2017
20;24060;08:00:00;15:30:00;                                     ;1111;600;                         ;05/09/2017
21;45860;08:30:00;16:00:00;                                     ;889;420;                         ;05/09/2017
22;54020;;;                                     ;;;                         ;05/09/2017
23;45770;;;                                     ;;;                         ;05/09/2017
24;45850;08:30:00;16:00:00;                                     ;956;612;                         ;05/09/2017
25;45750;08:30:00;16:00:00;                                     ;1331;657;                         ;05/09/2017
26;45450;08:30:00;16:00:00;                                     ;1436;616;                         ;05/09/2017
27;45280;08:30:00;16:00:00;                                     ;735;239;                         ;05/09/2017
28;45360;08:30:00;16:00:00;                                     ;1024;621;                         ;05/09/2017
29;45370;08:30:00;16:00:00;                                     ;472;158;                         ;05/09/2017
30;54090;09:00:00;16:00:00;                                     ;1023;603;                         ;05/09/2017
31;54030;09:00:00;16:00:00;                                     ;1103;665;                         ;05/09/2017
32;45820;08:30:00;16:00:00;                                     ;810;320;                         ;05/09/2017
33;45600;09:00:00;16:00:00;                                     ;1471;834;                         ;05/09/2017
34;45510;09:00:00;16:00:00;                                     ;1400;661;                         ;05/09/2017
