,Grupo,Id_Animal,Num_Lac,Dias_Lac,Pico,Hora_S1,Hora_S2,Hora_S3,Durac_S1,Durac_S2,Durac_S3,Prod_S1,Prod_S2,Prod_S3,Hora_S1_ont,Hora_S2_ont,Hora_S3_ont,Dura_S1_ont,Dura_S2_ont,Dura_S3_ont,Prod_S1_ont,Prod_S2_ont,Prod_S3_ont,Data
24,2,4585.0,1.0,116.0,23.704,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-02-20 00:00:00,1900-09-22 00:00:00,,9.57,6.21,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-01-27 00:00:00,1900-10-28 00:00:00,,9.57,6.18,,03/09/2017
25,2,4586.0,1.0,121.0,12.32,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-08-27 00:00:00,1901-05-19 00:00:00,,7.64,5.4,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-09-10 00:00:00,1900-12-30 00:00:00,,7.63,4.72,,03/09/2017
26,2,4575.0,1.0,114.0,22.07667,,2017-09-03 16:00:00,,,1901-02-15 00:00:00,,,6.22,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-12-12 00:00:00,1901-04-03 00:00:00,,12.64,7.24,,03/09/2017
27,2,4577.0,1.0,114.0,9.549999,,,,,,,,,,,,,,,,,,,03/09/2017
28,2,4545.0,1.0,113.0,23.7625,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-07-09 00:00:00,1901-04-06 00:00:00,,12.51,6.17,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-10-27 00:00:00,1901-03-22 00:00:00,,12.51,6.57,,03/09/2017
29,2,4537.0,1.0,114.0,15.822,2017-09-03 08:30:00,2017-09-03 16:00:00,,1900-11-03 00:00:00,1900-08-12 00:00:00,,4.77,2.75,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-02-17 00:00:00,1900-10-13 00:00:00,,3.44,3.41,,03/09/2017
30,2,4528.0,1.0,111.0,8.05,2017-09-03 08:30:00,2017-09-03 16:00:00,,1902-01-22 00:00:00,1900-12-24 00:00:00,,14.22,3.64,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-07-22 00:00:00,1900-09-27 00:00:00,,7.06,2.3,,03/09/2017
31,2,4536.0,1.0,117.0,24.0,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-08-19 00:00:00,1901-02-28 00:00:00,,10.07,6.04,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-05-16 00:00:00,1900-12-16 00:00:00,,10.07,5.82,,03/09/2017
32,3,5403.0,1.0,119.0,25.92,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-01-09 00:00:00,1901-09-14 00:00:00,,10.31,6.72,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1902-07-05 00:00:00,1901-01-26 00:00:00,,10.83,6.74,,03/09/2017
33,3,5409.0,1.0,119.0,22.53,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-05-06 00:00:00,1900-11-26 00:00:00,,10.96,5.5,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-06-01 00:00:00,1900-11-29 00:00:00,,10.94,6.09,,03/09/2017
34,3,4582.0,1.0,118.0,22.69667,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-06-14 00:00:00,1900-10-24 00:00:00,,7.88,3.47,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-05-07 00:00:00,1900-12-23 00:00:00,,7.88,3.79,,03/09/2017
35,3,4557.0,1.0,106.0,31.1,2017-09-03 09:00:00,2017-09-03 16:00:00,,1902-03-28 00:00:00,1901-07-05 00:00:00,,12.13,7.96,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1902-02-20 00:00:00,1901-05-22 00:00:00,,11.77,8.66,,03/09/2017
36,3,4560.0,1.0,120.0,48.51,2017-09-03 09:00:00,2017-09-03 16:00:00,,1902-03-02 00:00:00,1901-08-02 00:00:00,,15.79,8.26,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1902-03-09 00:00:00,1901-12-03 00:00:00,,15.53,8.3,,03/09/2017
37,3,4551.0,1.0,118.0,24.87667,2017-09-03 08:30:00,2017-09-03 16:00:00,,1902-02-15 00:00:00,1901-04-06 00:00:00,,13.25,7.8,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-11-14 00:00:00,1901-04-02 00:00:00,,12.84,7.55,,03/09/2017
38,3,4525.0,1.0,118.0,18.93667,2017-09-03 09:00:00,2017-09-03 16:00:00,,1902-04-12 00:00:00,1901-03-14 00:00:00,,7.99,4.29,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1902-04-03 00:00:00,1900-12-26 00:00:00,,9.47,5.22,,03/09/2017
39,3,4535.0,1.0,118.0,12.3,2017-09-03 09:00:00,2017-09-03 16:00:00,,1901-07-21 00:00:00,1901-02-20 00:00:00,,20.01,5.12,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1901-06-21 00:00:00,1901-02-02 00:00:00,,8.49,4.88,,03/09/2017
40,3,4066.0,1.0,121.0,20.95,2017-09-03 08:30:00,2017-09-03 16:00:00,,1902-05-19 00:00:00,1901-10-21 00:00:00,,7.42,6.85,,2017-09-02 08:30:00,2017-09-02 16:00:00,,1902-11-28 00:00:00,1902-01-19 00:00:00,,9.73,6.65,,03/09/2017
41,4,5407.0,1.0,122.0,22.236,2017-09-03 09:30:00,2017-09-03 16:30:00,,1901-10-17 00:00:00,1901-03-05 00:00:00,,8.36,7.55,,2017-09-02 09:00:00,2017-09-02 16:30:00,,1901-07-26 00:00:00,1901-01-12 00:00:00,,12.7,7.33,,03/09/2017
42,4,4587.0,1.0,126.0,24.62,,,,,,,,,,,,,,,,,,,03/09/2017
43,4,4573.0,1.0,121.0,7.715,,,,,,,,,,,,,,,,,,,03/09/2017
44,4,4581.0,1.0,123.0,25.372,2017-09-03 09:00:00,,,1902-04-28 00:00:00,,,11.93,,,2017-09-02 09:30:00,2017-09-02 16:30:00,,1901-06-24 00:00:00,1902-05-14 00:00:00,,11.93,9.32,,03/09/2017
45,4,4583.0,1.0,124.0,18.58333,2017-09-03 09:00:00,2017-09-03 16:30:00,,1901-10-09 00:00:00,1901-05-23 00:00:00,,8.53,4.44,,2017-09-02 09:00:00,2017-09-02 16:30:00,,1901-07-30 00:00:00,1901-03-02 00:00:00,,8.53,6.45,,03/09/2017
46,4,4546.0,1.0,123.0,22.986,2017-09-03 09:30:00,,,1902-11-17 00:00:00,,,21.25,,,2017-09-02 09:00:00,2017-09-02 16:30:00,,1902-07-05 00:00:00,1901-08-23 00:00:00,,11.39,7.05,,03/09/2017
47,4,4548.0,1.0,123.0,26.71,2017-09-03 09:30:00,2017-09-03 16:30:00,,1902-01-24 00:00:00,1901-05-11 00:00:00,,24.65,9.41,,2017-09-02 09:00:00,2017-09-02 16:30:00,,1902-08-01 00:00:00,1901-11-29 00:00:00,,15.34,8.88,,03/09/2017
48,4,4550.0,1.0,122.0,24.08714,2017-09-03 09:30:00,2017-09-03 16:30:00,,1901-12-29 00:00:00,1901-05-19 00:00:00,,23.11,5.17,,2017-09-02 09:00:00,2017-09-02 16:30:00,,1901-12-16 00:00:00,1901-03-05 00:00:00,,12.0,4.89,,03/09/2017
49,4,4065.0,1.0,126.0,5.29,2017-09-03 09:00:00,,,1900-09-13 00:00:00,,,8.03,,,2017-09-02 09:00:00,2017-09-02 16:30:00,,1901-04-20 00:00:00,1900-11-14 00:00:00,,8.03,4.24,,03/09/2017
50,5,5408.0,1.0,110.0,25.975,2017-09-03 09:30:00,2017-09-03 16:30:00,,1901-09-17 00:00:00,1901-04-06 00:00:00,,9.51,6.87,,2017-09-02 09:00:00,2017-09-02 16:30:00,,1901-07-24 00:00:00,1900-12-25 00:00:00,,11.36,5.77,,03/09/2017
51,5,4584.0,1.0,68.0,,2017-09-03 09:30:00,2017-09-03 16:30:00,,1901-12-21 00:00:00,1902-01-06 00:00:00,,11.61,6.86,,2017-09-02 09:00:00,2017-09-02 16:30:00,,1902-05-22 00:00:00,1901-11-13 00:00:00,,11.86,7.2,,03/09/2017
52,5,4554.0,1.0,97.0,,,,,,,,,,,,,,,,,,,,03/09/2017
53,5,4572.0,1.0,74.0,,2017-09-03 09:30:00,2017-09-03 16:30:00,,1900-10-01 00:00:00,1901-03-03 00:00:00,,8.01,5.21,,2017-09-02 09:00:00,2017-09-02 16:30:00,,1901-10-23 00:00:00,1901-04-29 00:00:00,,8.56,4.56,,03/09/2017
