,Id_Animal,Hora_S1,Hora_S2,Hora_S3,Prod_S1,Prod_S2,Prod_S3,Data
66,3785.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
67,4453.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
68,3538.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
69,3460.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
70,2483.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
71,2431.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,01/09/2017
0,653.0,07:55                                ,15:20                                ,                                     ,18.19                    ,8.54                     ,                         ,03/09/2017
1,2623.0,08:07                                ,15:38                                ,                                     ,12.94                    ,7.95                     ,                         ,03/09/2017
2,2624.0,08:19                                ,15:32                                ,                                     ,13.22                    ,9.87                     ,                         ,03/09/2017
3,2662.0,09:42                                ,16:52                                ,                                     ,0.49                     ,6.81                     ,                         ,03/09/2017
4,3652.0,07:55                                ,15:19                                ,                                     ,12.58                    ,5.96                     ,                         ,03/09/2017
5,4588.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
6,4549.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
7,4498.0,07:54                                ,15:18                                ,                                     ,15.09                    ,8.74                     ,                         ,03/09/2017
8,4448.0,07:54                                ,15:17                                ,                                     ,13.42                    ,6.39                     ,                         ,03/09/2017
9,4412.0,07:55                                ,15:17                                ,                                     ,9.72                     ,4.98                     ,                         ,03/09/2017
10,4421.0,09:43                                ,16:53                                ,                                     ,7.97                     ,4.27                     ,                         ,03/09/2017
11,4021.0,08:19                                ,15:39                                ,                                     ,13.43                    ,5.40                     ,                         ,03/09/2017
12,3579.0,07:54                                ,15:18                                ,                                     ,12.71                    ,7.34                     ,                         ,03/09/2017
13,3527.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
14,3500.0,08:07                                ,15:31                                ,                                     ,13.16                    ,6.21                     ,                         ,03/09/2017
15,3475.0,07:55                                ,15:19                                ,                                     ,14.33                    ,6.99                     ,                         ,03/09/2017
16,3424.0,08:18                                ,15:31                                ,                                     ,7.79                     ,7.30                     ,                         ,03/09/2017
17,2581.0,09:43                                ,16:53                                ,                                     ,17.93                    ,7.33                     ,                         ,03/09/2017
18,2567.0,07:55                                ,15:20                                ,                                     ,15.78                    ,7.42                     ,                         ,03/09/2017
19,2468.0,08:07                                ,15:39                                ,                                     ,12.47                    ,5.89                     ,                         ,03/09/2017
20,2406.0,08:07                                ,15:32                                ,                                     ,11.85                    ,5.41                     ,                         ,03/09/2017
21,4586.0,08:38                                ,15:52                                ,                                     ,7.64                     ,5.40                     ,                         ,03/09/2017
22,5402.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
23,4577.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
24,4585.0,08:22                                ,15:52                                ,                                     ,9.57                     ,6.21                     ,                         ,03/09/2017
25,4575.0,                                     ,15:52                                ,                                     ,                         ,6.22                     ,                         ,03/09/2017
26,4545.0,08:23                                ,15:53                                ,                                     ,12.51                    ,6.17                     ,                         ,03/09/2017
27,4528.0,08:38                                ,15:51                                ,                                     ,14.22                    ,3.64                     ,                         ,03/09/2017
28,4536.0,08:22                                ,15:51                                ,                                     ,10.07                    ,6.04                     ,                         ,03/09/2017
29,4537.0,08:39                                ,15:51                                ,                                     ,4.77                     ,2.75                     ,                         ,03/09/2017
30,5409.0,08:27                                ,16:05                                ,                                     ,10.96                    ,5.50                     ,                         ,03/09/2017
31,5403.0,08:26                                ,16:05                                ,                                     ,10.31                    ,6.72                     ,                         ,03/09/2017
32,4582.0,08:22                                ,15:53                                ,                                     ,7.88                     ,3.47                     ,                         ,03/09/2017
33,4560.0,08:54                                ,16:06                                ,                                     ,15.79                    ,8.26                     ,                         ,03/09/2017
34,4551.0,08:26                                ,16:08                                ,                                     ,13.25                    ,7.80                     ,                         ,03/09/2017
35,4557.0,08:54                                ,16:07                                ,                                     ,12.13                    ,7.96                     ,                         ,03/09/2017
36,4535.0,08:55                                ,16:08                                ,                                     ,20.01                    ,5.12                     ,                         ,03/09/2017
37,4525.0,08:54                                ,16:08                                ,                                     ,7.99                     ,4.29                     ,                         ,03/09/2017
