,Fase,Data,Dia_Experimento,Id_Animal,Dieta,Trat,Periodo,Hora,Temp_Vaginal,Timestamp
54,1,2017-07-21 00:00:00,13,2416,2,2,1,10:31:00,39.0,2017-07-21 10:31:00
55,1,2017-07-21 00:00:00,13,2416,2,2,1,11:01:00,39.0,2017-07-21 11:01:00
56,1,2017-07-21 00:00:00,13,2416,2,2,1,11:31:00,39.375,2017-07-21 11:31:00
57,1,2017-07-21 00:00:00,13,2416,2,2,1,12:01:00,39.25,2017-07-21 12:01:00
58,1,2017-07-21 00:00:00,13,2416,2,2,1,12:31:00,39.25,2017-07-21 12:31:00
59,1,2017-07-21 00:00:00,13,2416,2,2,1,13:01:00,39.5,2017-07-21 13:01:00
60,1,2017-07-21 00:00:00,13,2416,2,2,1,13:31:00,39.375,2017-07-21 13:31:00
61,1,2017-07-21 00:00:00,13,2416,2,2,1,14:01:00,39.375,2017-07-21 14:01:00
62,1,2017-07-21 00:00:00,13,2416,2,2,1,14:31:00,39.125,2017-07-21 14:31:00
63,1,2017-07-21 00:00:00,13,2416,2,2,1,15:01:00,39.5,2017-07-21 15:01:00
64,1,2017-07-21 00:00:00,13,2416,2,2,1,15:31:00,39.5,2017-07-21 15:31:00
65,1,2017-07-21 00:00:00,13,2416,2,2,1,16:01:00,39.875,2017-07-21 16:01:00
66,1,2017-07-21 00:00:00,13,2416,2,2,1,16:31:00,39.875,2017-07-21 16:31:00
67,1,2017-07-21 00:00:00,13,2416,2,2,1,17:01:00,39.5,2017-07-21 17:01:00
68,1,2017-07-21 00:00:00,13,2416,2,2,1,17:31:00,39.25,2017-07-21 17:31:00
69,1,2017-07-21 00:00:00,13,2416,2,2,1,18:01:00,39.25,2017-07-21 18:01:00
70,1,2017-07-21 00:00:00,13,2416,2,2,1,18:31:00,39.25,2017-07-21 18:31:00
71,1,2017-07-21 00:00:00,13,2416,2,2,1,19:01:00,39.25,2017-07-21 19:01:00
72,1,2017-07-21 00:00:00,13,2416,2,2,1,19:31:00,39.375,2017-07-21 19:31:00
73,1,2017-07-21 00:00:00,13,2416,2,2,1,20:01:00,39.625,2017-07-21 20:01:00
74,1,2017-07-21 00:00:00,13,2416,2,2,1,20:31:00,39.5,2017-07-21 20:31:00
75,1,2017-07-21 00:00:00,13,2416,2,2,1,21:01:00,39.25,2017-07-21 21:01:00
76,1,2017-07-21 00:00:00,13,2416,2,2,1,21:31:00,39.25,2017-07-21 21:31:00
77,1,2017-07-21 00:00:00,13,2416,2,2,1,22:01:00,39.375,2017-07-21 22:01:00
78,1,2017-07-21 00:00:00,13,2416,2,2,1,22:31:00,39.625,2017-07-21 22:31:00
79,1,2017-07-21 00:00:00,13,2416,2,2,1,23:01:00,39.75,2017-07-21 23:01:00
80,1,2017-07-21 00:00:00,13,2416,2,2,1,23:31:00,39.625,2017-07-21 23:31:00
81,1,2017-07-22 00:00:00,14,2416,2,2,1,00:01:00,39.25,2017-07-22 00:01:00
82,1,2017-07-22 00:00:00,14,2416,2,2,1,00:31:00,39.25,2017-07-22 00:31:00
83,1,2017-07-22 00:00:00,14,2416,2,2,1,01:01:00,39.25,2017-07-22 01:01:00
84,1,2017-07-22 00:00:00,14,2416,2,2,1,01:31:00,39.0,2017-07-22 01:31:00
85,1,2017-07-22 00:00:00,14,2416,2,2,1,02:01:00,39.125,2017-07-22 02:01:00
86,1,2017-07-22 00:00:00,14,2416,2,2,1,02:31:00,39.125,2017-07-22 02:31:00
87,1,2017-07-22 00:00:00,14,2416,2,2,1,03:01:00,39.125,2017-07-22 03:01:00
88,1,2017-07-22 00:00:00,14,2416,2,2,1,03:31:00,39.125,2017-07-22 03:31:00
89,1,2017-07-22 00:00:00,14,2416,2,2,1,04:01:00,39.0,2017-07-22 04:01:00
90,1,2017-07-22 00:00:00,14,2416,2,2,1,04:31:00,39.0,2017-07-22 04:31:00
91,1,2017-07-22 00:00:00,14,2416,2,2,1,05:01:00,39.125,2017-07-22 05:01:00
92,1,2017-07-22 00:00:00,14,2416,2,2,1,05:31:00,39.0,2017-07-22 05:31:00
93,1,2017-07-22 00:00:00,14,2416,2,2,1,06:01:00,39.0,2017-07-22 06:01:00
94,1,2017-07-22 00:00:00,14,2416,2,2,1,06:31:00,38.875,2017-07-22 06:31:00
95,1,2017-07-22 00:00:00,14,2416,2,2,1,07:01:00,39.0,2017-07-22 07:01:00
96,1,2017-07-22 00:00:00,14,2416,2,2,1,07:31:00,39.0,2017-07-22 07:31:00
97,1,2017-07-22 00:00:00,14,2416,2,2,1,08:01:00,39.0,2017-07-22 08:01:00
98,1,2017-07-22 00:00:00,14,2416,2,2,1,08:31:00,39.0,2017-07-22 08:31:00
99,1,2017-07-22 00:00:00,14,2416,2,2,1,09:01:00,39.375,2017-07-22 09:01:00
100,1,2017-07-22 00:00:00,14,2416,2,2,1,09:31:00,39.5,2017-07-22 09:31:00
101,1,2017-07-22 00:00:00,14,2416,2,2,1,10:01:00,39.625,2017-07-22 10:01:00
102,1,2017-07-22 00:00:00,14,2416,2,2,1,10:31:00,39.375,2017-07-22 10:31:00
103,1,2017-07-22 00:00:00,14,2416,2,2,1,11:01:00,39.0,2017-07-22 11:01:00
104,1,2017-07-22 00:00:00,14,2416,2,2,1,11:31:00,39.125,2017-07-22 11:31:00
105,1,2017-07-22 00:00:00,14,2416,2,2,1,12:01:00,39.625,2017-07-22 12:01:00
106,1,2017-07-22 00:00:00,14,2416,2,2,1,12:31:00,39.625,2017-07-22 12:31:00
107,1,2017-07-22 00:00:00,14,2416,2,2,1,13:01:00,39.375,2017-07-22 13:01:00
108,1,2017-07-22 00:00:00,14,2416,2,2,1,13:31:00,39.25,2017-07-22 13:31:00
109,1,2017-07-22 00:00:00,14,2416,2,2,1,14:01:00,39.25,2017-07-22 14:01:00
110,1,2017-07-22 00:00:00,14,2416,2,2,1,14:31:00,39.375,2017-07-22 14:31:00
111,1,2017-07-22 00:00:00,14,2416,2,2,1,15:01:00,39.625,2017-07-22 15:01:00
112,1,2017-07-22 00:00:00,14,2416,2,2,1,15:31:00,39.625,2017-07-22 15:31:00
113,1,2017-07-22 00:00:00,14,2416,2,2,1,16:01:00,39.75,2017-07-22 16:01:00
114,1,2017-07-22 00:00:00,14,2416,2,2,1,16:31:00,40.25,2017-07-22 16:31:00
115,1,2017-07-22 00:00:00,14,2416,2,2,1,17:01:00,40.25,2017-07-22 17:01:00
116,1,2017-07-22 00:00:00,14,2416,2,2,1,17:31:00,39.625,2017-07-22 17:31:00
117,1,2017-07-22 00:00:00,14,2416,2,2,1,18:01:00,39.25,2017-07-22 18:01:00
118,1,2017-07-22 00:00:00,14,2416,2,2,1,18:31:00,39.125,2017-07-22 18:31:00
119,1,2017-07-22 00:00:00,14,2416,2,2,1,19:01:00,39.625,2017-07-22 19:01:00
120,1,2017-07-22 00:00:00,14,2416,2,2,1,19:31:00,39.625,2017-07-22 19:31:00
121,1,2017-07-22 00:00:00,14,2416,2,2,1,20:01:00,39.25,2017-07-22 20:01:00
122,1,2017-07-22 00:00:00,14,2416,2,2,1,20:31:00,39.25,2017-07-22 20:31:00
123,1,2017-07-22 00:00:00,14,2416,2,2,1,21:01:00,39.125,2017-07-22 21:01:00
124,1,2017-07-22 00:00:00,14,2416,2,2,1,21:31:00,39.125,2017-07-22 21:31:00
125,1,2017-07-22 00:00:00,14,2416,2,2,1,22:01:00,39.375,2017-07-22 22:01:00
126,1,2017-07-22 00:00:00,14,2416,2,2,1,22:31:00,39.625,2017-07-22 22:31:00
127,1,2017-07-22 00:00:00,14,2416,2,2,1,23:01:00,39.375,2017-07-22 23:01:00
128,1,2017-07-22 00:00:00,14,2416,2,2,1,23:31:00,39.25,2017-07-22 23:31:00
129,1,2017-07-23 00:00:00,15,2416,2,2,1,00:01:00,39.25,2017-07-23 00:01:00
130,1,2017-07-23 00:00:00,15,2416,2,2,1,00:31:00,39.125,2017-07-23 00:31:00
131,1,2017-07-23 00:00:00,15,2416,2,2,1,01:01:00,39.125,2017-07-23 01:01:00
132,1,2017-07-23 00:00:00,15,2416,2,2,1,01:31:00,39.125,2017-07-23 01:31:00
133,1,2017-07-23 00:00:00,15,2416,2,2,1,02:01:00,39.25,2017-07-23 02:01:00
134,1,2017-07-23 00:00:00,15,2416,2,2,1,02:31:00,39.25,2017-07-23 02:31:00
135,1,2017-07-23 00:00:00,15,2416,2,2,1,03:01:00,39.25,2017-07-23 03:01:00
136,1,2017-07-23 00:00:00,15,2416,2,2,1,03:31:00,39.0,2017-07-23 03:31:00
137,1,2017-07-23 00:00:00,15,2416,2,2,1,04:01:00,38.875,2017-07-23 04:01:00
138,1,2017-07-23 00:00:00,15,2416,2,2,1,04:31:00,39.0,2017-07-23 04:31:00
139,1,2017-07-23 00:00:00,15,2416,2,2,1,05:01:00,39.0,2017-07-23 05:01:00
140,1,2017-07-23 00:00:00,15,2416,2,2,1,05:31:00,39.25,2017-07-23 05:31:00
141,1,2017-07-23 00:00:00,15,2416,2,2,1,06:01:00,39.125,2017-07-23 06:01:00
142,1,2017-07-23 00:00:00,15,2416,2,2,1,06:31:00,38.75,2017-07-23 06:31:00
143,1,2017-07-23 00:00:00,15,2416,2,2,1,07:01:00,38.875,2017-07-23 07:01:00
144,1,2017-07-23 00:00:00,15,2416,2,2,1,07:31:00,38.875,2017-07-23 07:31:00
145,1,2017-07-23 00:00:00,15,2416,2,2,1,08:01:00,38.875,2017-07-23 08:01:00
146,1,2017-07-23 00:00:00,15,2416,2,2,1,08:31:00,39.125,2017-07-23 08:31:00
147,1,2017-07-23 00:00:00,15,2416,2,2,1,09:01:00,39.25,2017-07-23 09:01:00
148,1,2017-07-23 00:00:00,15,2416,2,2,1,09:31:00,39.25,2017-07-23 09:31:00
149,1,2017-07-23 00:00:00,15,2416,2,2,1,10:01:00,39.0,2017-07-23 10:01:00
150,1,2017-07-23 00:00:00,15,2416,2,2,1,10:31:00,39.25,2017-07-23 10:31:00
151,1,2017-07-23 00:00:00,15,2416,2,2,1,11:01:00,39.625,2017-07-23 11:01:00
152,1,2017-07-23 00:00:00,15,2416,2,2,1,11:31:00,39.625,2017-07-23 11:31:00
153,1,2017-07-23 00:00:00,15,2416,2,2,1,12:01:00,39.125,2017-07-23 12:01:00
154,1,2017-07-23 00:00:00,15,2416,2,2,1,12:31:00,39.0,2017-07-23 12:31:00
