Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
2                      	4537            	1                 	151             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4528            	1                 	148             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
3                      	5409            	1                 	156             	11,11                    	5,94                     	                         	08:55                                	16:28                                	                                     	08:38                                  	08:34                                  	                                       	3,63                                      	2,00                                      	4,80                       	0,00                       	0,70                        	0,00                        	1,30                        	0,80                        	1,60                         	1,60                         	1,2                                   	0,6                                   	                           	7,6                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	5403            	1                 	156             	10,80                    	5,10                     	                         	08:55                                	16:31                                	                                     	05:52                                  	03:33                                  	                                       	5,20                                      	3,40                                      	5,30                       	0,00                       	1,70                        	0,60                        	2,09                        	1,90                        	2,40                         	2,30                         	1,8                                   	1,4                                   	                           	7,6                                  	                            	2,8                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
3                      	4582            	1                 	155             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
3                      	4551            	1                 	155             	13,73                    	6,93                     	                         	08:56                                	16:28                                	                                     	10:35                                  	07:06                                  	                                       	2,60                                      	1,80                                      	0,00                       	0,00                       	0,60                        	0,00                        	1,50                        	0,80                        	1,70                         	1,40                         	1,2                                   	0,9                                   	                           	1,9                                  	                            	1,8                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
3                      	4557            	1                 	143             	10,68                    	                         	                         	08:56                                	                                     	                                     	14:45                                  	                                       	                                       	0,00                                      	                                          	0,00                       	                           	0,00                        	                            	0,00                        	                            	0,00                         	                             	1,0                                   	                                      	                           	1,7                                  	                            	                                     	                            	                             	0,0                                     	                                      	                                        	                                     	                                        	                                          
3                      	4560            	1                 	157             	16,75                    	8,29                     	                         	08:55                                	16:27                                	                                     	15:12                                  	10:14                                  	                                       	2,55                                      	0,90                                      	0,00                       	0,00                       	0,40                        	0,00                        	1,30                        	0,20                        	1,80                         	0,80                         	1,1                                   	0,8                                   	                           	2,5                                  	                            	1,7                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4535            	1                 	155             	8,20                     	4,73                     	                         	08:56                                	16:28                                	                                     	08:54                                  	07:47                                  	                                       	1,60                                      	1,30                                      	0,00                       	0,00                       	0,20                        	0,20                        	0,90                        	0,50                        	1,10                         	1,00                         	0,9                                   	0,6                                   	                           	1,4                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4525            	1                 	155             	8,52                     	4,31                     	                         	08:55                                	16:27                                	                                     	07:18                                  	08:40                                  	                                       	2,20                                      	1,98                                      	0,90                       	0,00                       	0,10                        	0,10                        	1,10                        	0,90                        	1,40                         	1,50                         	1,1                                   	0,4                                   	                           	7,6                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
3                      	4066            	1                 	158             	8,98                     	5,98                     	                         	08:55                                	16:26                                	                                     	15:35                                  	10:22                                  	                                       	1,38                                      	0,95                                      	0,00                       	0,00                       	0,10                        	0,00                        	0,70                        	0,10                        	1,00                         	0,90                         	0,5                                   	0,5                                   	                           	1,2                                  	                            	1,6                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	5407            	1                 	159             	12,65                    	7,71                     	                         	09:20                                	16:48                                	                                     	09:56                                  	07:29                                  	                                       	2,15                                      	1,70                                      	0,00                       	0,10                       	0,60                        	0,10                        	1,20                        	0,90                        	1,40                         	1,20                         	1,2                                   	1,0                                   	                           	1,9                                  	                            	1,7                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4583            	1                 	161             	10,17                    	5,25                     	                         	09:18                                	16:49                                	                                     	08:08                                  	06:40                                  	                                       	2,88                                      	1,68                                      	0,20                       	0,10                       	1,10                        	0,00                        	1,50                        	0,70                        	1,80                         	1,30                         	1,2                                   	0,7                                   	                           	2,2                                  	                            	1,6                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4587            	1                 	163             	2,84                     	7,18                     	                         	09:16                                	16:49                                	                                     	11:49                                  	07:10                                  	                                       	1,88                                      	1,75                                      	0,10                       	0,10                       	0,00                        	0,30                        	0,90                        	1,10                        	1,40                         	1,10                         	0,2                                   	1,0                                   	                           	1,8                                  	                            	1,7                                  	                            	                             	0,1                                     	                                      	0,4                                     	                                     	                                        	                                          
4                      	4573            	1                 	158             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
4                      	4581            	1                 	160             	12,18                    	8,04                     	                         	09:10                                	16:46                                	                                     	18:01                                  	13:30                                  	                                       	0,88                                      	1,13                                      	0,00                       	0,40                       	0,10                        	0,10                        	0,30                        	0,40                        	0,70                         	0,80                         	0,6                                   	0,5                                   	                           	1,6                                  	                            	1,2                                  	                            	                             	0,2                                     	                                      	0,4                                     	                                     	                                        	                                          
