Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
1                      	2624            	2                 	155             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	2662            	2                 	184             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	3652            	2                 	136             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	653             	2                 	171             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	2623            	1                 	137             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4588            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4549            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4498            	1                 	131             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4448            	1                 	196             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4412            	2                 	134             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4421            	1                 	163             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4021            	2                 	141             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	3579            	1                 	126             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	3527            	1                 	145             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	3500            	2                 	142             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	3475            	1                 	153             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	3424            	1                 	150             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	2581            	1                 	178             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	2567            	1                 	143             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	2468            	2                 	164             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	2406            	2                 	139             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	5402            	1                 	160             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4585            	1                 	159             	11,56                    	5,17                     	                         	08:52                                	16:06                                	                                     	06:24                                  	04:06                                  	                                       	4,05                                      	3,30                                      	0,00                       	0,00                       	0,80                        	0,60                        	2,30                        	1,90                        	2,70                         	2,20                         	1,8                                   	1,2                                   	                           	2,9                                  	                            	2,6                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4586            	1                 	164             	8,51                     	6,05                     	                         	08:51                                	16:07                                	                                     	08:12                                  	06:18                                  	                                       	1,63                                      	1,88                                      	0,00                       	0,00                       	0,10                        	0,30                        	0,80                        	1,00                        	1,20                         	1,30                         	1,0                                   	0,9                                   	                           	1,7                                  	                            	1,7                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4575            	1                 	157             	16,93                    	6,96                     	                         	08:52                                	16:06                                	                                     	11:42                                  	08:12                                  	                                       	0,00                                      	2,03                                      	0,00                       	0,00                       	0,00                        	0,10                        	0,00                        	1,00                        	0,00                         	1,50                         	3,8                                   	0,8                                   	                           	2,8                                  	                            	1,7                                  	                            	                             	0,0                                     	                                      	0,2                                     	                                     	                                        	                                          
2                      	4577            	1                 	157             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4545            	1                 	156             	14,34                    	6,03                     	                         	08:52                                	16:07                                	                                     	10:59                                  	06:32                                  	                                       	3,30                                      	0,90                                      	0,00                       	0,00                       	1,40                        	0,00                        	1,90                        	0,00                        	2,00                         	0,90                         	1,3                                   	0,9                                   	                           	2,2                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
2                      	4536            	1                 	160             	9,08                     	3,98                     	                         	08:49                                	16:07                                	                                     	07:56                                  	06:08                                  	                                       	2,33                                      	7,10                                      	0,00                       	6,60                       	0,10                        	7,60                        	1,00                        	5,90                        	1,80                         	0,60                         	1,1                                   	0,6                                   	                           	2,2                                  	                            	7,6                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
2                      	4537            	1                 	157             	2,92                     	1,80                     	                         	08:47                                	16:08                                	                                     	04:57                                  	03:51                                  	                                       	2,40                                      	1,28                                      	0,00                       	0,10                       	0,00                        	1,00                        	1,00                        	0,60                        	1,90                         	0,70                         	1,1                                   	0,4                                   	                           	2,8                                  	                            	1,5                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4528            	1                 	154             	4,97                     	2,78                     	                         	10:01                                	17:08                                	                                     	07:02                                  	07:45                                  	                                       	1,10                                      	0,63                                      	0,00                       	0,00                       	0,20                        	0,10                        	0,70                        	0,60                        	0,70                         	0,30                         	0,7                                   	0,3                                   	                           	1,3                                  	                            	1,3                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	5409            	1                 	162             	11,50                    	6,45                     	                         	08:49                                	16:19                                	                                     	08:58                                  	06:47                                  	                                       	1,30                                      	2,23                                      	0,00                       	0,10                       	0,00                        	0,20                        	0,20                        	1,10                        	1,20                         	1,60                         	1,2                                   	0,9                                   	                           	2,2                                  	                            	1,9                                  	                            	                             	0,3                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	5403            	1                 	162             	11,53                    	6,03                     	                         	08:49                                	16:19                                	                                     	12:07                                  	05:36                                  	                                       	3,78                                      	2,87                                      	0,00                       	0,10                       	0,70                        	0,20                        	2,20                        	1,40                        	2,50                         	2,09                         	0,9                                   	1,0                                   	                           	3,1                                  	                            	2,5                                  	                            	                             	1,3                                     	                                      	0,0                                     	                                     	                                        	                                          
3                      	4582            	1                 	161             	6,21                     	3,05                     	                         	08:49                                	16:07                                	                                     	07:22                                  	05:55                                  	                                       	1,25                                      	0,75                                      	0,00                       	0,00                       	0,00                        	0,00                        	0,50                        	0,30                        	1,00                         	0,60                         	0,8                                   	0,5                                   	                           	1,4                                  	                            	1,1                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4551            	1                 	161             	14,24                    	6,44                     	                         	09:02                                	16:20                                	                                     	09:23                                  	06:35                                  	                                       	2,98                                      	1,40                                      	0,00                       	0,00                       	0,30                        	0,00                        	1,80                        	0,20                        	2,00                         	1,30                         	1,5                                   	0,9                                   	                           	2,4                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4557            	1                 	149             	12,55                    	6,14                     	                         	09:03                                	16:20                                	                                     	14:21                                  	12:00                                  	                                       	1,75                                      	0,68                                      	0,00                       	0,10                       	0,20                        	0,00                        	0,80                        	0,10                        	1,30                         	0,60                         	0,8                                   	0,5                                   	                           	1,7                                  	                            	1,4                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4560            	1                 	163             	16,63                    	0,27                     	                         	09:02                                	16:20                                	                                     	12:57                                  	05:43                                  	                                       	2,33                                      	0,15                                      	0,10                       	0,00                       	0,40                        	0,00                        	1,20                        	0,10                        	1,60                         	0,10                         	1,2                                   	                                      	                           	2,3                                  	                            	0,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4535            	1                 	161             	9,46                     	4,12                     	                         	09:09                                	16:20                                	                                     	09:55                                  	04:56                                  	                                       	1,68                                      	1,55                                      	0,00                       	0,00                       	0,30                        	0,20                        	0,80                        	0,80                        	1,20                         	1,10                         	0,9                                   	0,8                                   	                           	1,6                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4525            	1                 	161             	8,36                     	4,71                     	                         	09:10                                	16:21                                	                                     	06:37                                  	04:38                                  	                                       	2,25                                      	1,98                                      	0,00                       	0,10                       	0,40                        	0,20                        	1,30                        	0,80                        	1,50                         	1,50                         	1,2                                   	1,0                                   	                           	1,9                                  	                            	1,7                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4066            	1                 	164             	9,05                     	7,88                     	                         	09:03                                	16:21                                	                                     	14:42                                  	11:32                                  	                                       	0,80                                      	1,20                                      	0,00                       	0,00                       	0,00                        	0,00                        	0,40                        	0,60                        	0,60                         	0,90                         	0,6                                   	0,6                                   	                           	1,1                                  	                            	1,4                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	5407            	1                 	165             	12,95                    	7,33                     	                         	09:10                                	16:32                                	                                     	09:29                                  	07:39                                  	                                       	2,23                                      	1,33                                      	0,10                       	0,10                       	0,40                        	0,00                        	1,20                        	0,60                        	1,50                         	1,00                         	1,3                                   	0,9                                   	                           	1,9                                  	                            	1,4                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
