cromo;30/07/2017;;;;
Timezone;-3;;;;
;;;;;
Serial;No.;444F200001AE2B21;;;
Location:;Lilian Letra;;;;
High;temperature;limit;(°C);46;38
Low;temperature;limit;(°C);14;5
Date;-;Time;Temperature (°C);;
30/07/2017;07:01;38.750;38,75;;
30/07/2017;07:31;38.500;38,5;;
30/07/2017;08:01;38.125;38,125;;
30/07/2017;08:31;38.625;38,625;;
30/07/2017;09:01;39.000;39;;
30/07/2017;09:31;38.875;38,875;;
30/07/2017;10:01;38.750;38,75;;
30/07/2017;10:31;38.750;38,75;;
30/07/2017;11:01;38.750;38,75;;
30/07/2017;11:31;39.000;39;;
30/07/2017;12:01;20.125;20,125;;
30/07/2017;12:31;17.500;17,5;;
30/07/2017;13:01;18.000;18;;
30/07/2017;13:31;18.375;18,375;;
30/07/2017;14:01;18.500;18,5;;
30/07/2017;14:31;18.625;18,625;;
30/07/2017;15:01;18.875;18,875;;
30/07/2017;15:31;19.000;19;;
30/07/2017;16:01;19.125;19,125;;
30/07/2017;16:31;19.375;19,375;;
30/07/2017;17:01;20.875;20,875;;
30/07/2017;17:31;22.500;22,5;;
30/07/2017;18:01;22.625;22,625;;
30/07/2017;18:31;22.625;22,625;;
30/07/2017;19:01;21.875;21,875;;
30/07/2017;19:31;21.875;21,875;;
30/07/2017;20:01;21.750;21,75;;
30/07/2017;20:31;23.500;23,5;;
-end-;;;0;;
