;18/09/2017;;;;;
Timezone;-3;;;;;
;;;;;;
Serial No.;9B4F200001AC8B21;;;;;
Location:;lilian cromo;;;;;
High temperature limit (°C);20;;;;;
Low temperature limit (°C);14;;;;;
Date - Time;Temperature (°C);;;;;
18/09/2017;05:00;38,75;;;;
18/09/2017;05:30;38,625;;;;
18/09/2017;06:00;38,875;;;;
18/09/2017;06:30;39,125;;;;
18/09/2017;07:00;39,125;;;;
18/09/2017;07:30;39;;;;
18/09/2017;08:00;39,125;;;;
18/09/2017;08:30;39;;;;
18/09/2017;09:00;39,125;;;;
18/09/2017;09:30;39,125;;;;
18/09/2017;10:00;24,625;;;;
18/09/2017;10:30;20,75;;;;
18/09/2017;11:00;21,125;;;;
18/09/2017;11:30;21,5;;;;
18/09/2017;12:00;23,125;;;;
18/09/2017;12:30;23,625;;;;
18/09/2017;13:00;24,25;;;;
18/09/2017;13:30;23,875;;;;
18/09/2017;14:00;23,5;;;;
18/09/2017;14:30;27;;;;
18/09/2017;15:00;27,875;;;;
18/09/2017;15:30;26,625;;;;
18/09/2017;16:00;27,5;;;;
18/09/2017;16:30;29,875;;;;
18/09/2017;17:00;28,75;;;;
18/09/2017;17:30;28,5;;;;
18/09/2017;18:00;28,375;;;;
18/09/2017;18:30;28,375;;;;
18/09/2017;19:00;27,875;;;;
18/09/2017;19:30;27,625;;;;
18/09/2017;20:00;27,375;;;;
18/09/2017;20:30;27,375;;;;
18/09/2017;21:00;27,625;;;;
-end-;;0;;;;
