Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
1                      	4588            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4549            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4585            	1                 	76              	14,41                    	7,29                     	                         	08:17                                	16:10                                	                                     	06:51                                  	09:19                                  	                                       	4,33                                      	3,55                                      	0,00                       	0,00                       	0,50                        	0,20                        	2,40                        	1,80                        	3,00                         	2,60                         	2,1                                   	0,6                                   	                           	3,3                                  	                            	3,1                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
2                      	4586            	1                 	81              	7,60                     	4,70                     	                         	08:22                                	16:11                                	                                     	07:14                                  	04:53                                  	                                       	1,45                                      	1,18                                      	0,00                       	0,10                       	0,00                        	0,00                        	0,70                        	0,10                        	1,10                         	1,10                         	1,0                                   	0,9                                   	                           	1,9                                  	                            	2,0                                  	                            	                             	0,1                                     	                                      	0,8                                     	                                     	                                        	                                          
2                      	5402            	1                 	77              	2,02                     	2,39                     	                         	09:07                                	16:20                                	                                     	03:27                                  	08:16                                  	                                       	1,50                                      	1,63                                      	0,10                       	0,10                       	0,30                        	0,00                        	1,00                        	1,00                        	0,90                         	1,10                         	0,5                                   	0,2                                   	                           	1,3                                  	                            	1,5                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4575            	1                 	74              	15,82                    	6,41                     	                         	08:17                                	16:10                                	                                     	11:48                                  	07:57                                  	                                       	2,55                                      	0,93                                      	0,10                       	0,10                       	0,30                        	0,00                        	1,50                        	0,00                        	1,70                         	0,90                         	1,3                                   	0,8                                   	                           	2,1                                  	                            	1,6                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4577            	1                 	74              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4545            	1                 	73              	14,69                    	7,58                     	                         	08:17                                	16:15                                	                                     	10:45                                  	13:07                                  	                                       	2,75                                      	0,93                                      	0,10                       	0,10                       	0,50                        	0,00                        	1,60                        	0,20                        	1,80                         	0,80                         	1,3                                   	0,9                                   	                           	2,3                                  	                            	1,8                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4528            	1                 	71              	7,47                     	4,24                     	                         	08:17                                	16:11                                	                                     	09:19                                  	06:57                                  	                                       	1,10                                      	0,90                                      	0,10                       	0,10                       	0,10                        	0,10                        	0,70                        	0,50                        	0,70                         	0,60                         	0,8                                   	0,6                                   	                           	1,4                                  	                            	1,0                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4536            	1                 	77              	12,37                    	6,68                     	                         	08:21                                	15:48                                	                                     	09:04                                  	06:55                                  	                                       	2,97                                      	1,45                                      	0,00                       	0,00                       	0,30                        	0,00                        	1,60                        	0,10                        	2,09                         	1,40                         	1,3                                   	0,9                                   	                           	2,3                                  	                            	2,2                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4537            	1                 	74              	5,54                     	2,39                     	                         	08:22                                	15:49                                	                                     	05:21                                  	05:16                                  	                                       	4,23                                      	0,50                                      	0,40                       	0,00                       	2,90                        	0,00                        	3,60                        	0,00                        	1,60                         	0,50                         	1,0                                   	0,4                                   	                           	4,0                                  	                            	1,1                                  	                            	                             	0,1                                     	                                      	0,4                                     	                                     	                                        	                                          
3                      	5403            	1                 	79              	15,49                    	6,06                     	                         	08:37                                	16:16                                	                                     	13:49                                  	12:39                                  	                                       	3,07                                      	1,90                                      	0,00                       	0,00                       	0,50                        	0,00                        	1,70                        	1,00                        	2,09                         	1,40                         	1,1                                   	0,4                                   	                           	2,8                                  	                            	2,6                                  	                            	                             	2,6                                     	                                      	2,6                                     	                                     	                                        	                                          
3                      	5409            	1                 	79              	7,81                     	6,75                     	                         	08:37                                	16:17                                	                                     	08:11                                  	06:49                                  	                                       	2,40                                      	0,03                                      	0,10                       	0,10                       	0,30                        	0,00                        	1,20                        	0,00                        	1,70                         	0,00                         	0,9                                   	0,9                                   	                           	2,3                                  	                            	2,1                                  	                            	                             	0,2                                     	                                      	0,0                                     	                                     	                                        	                                          
3                      	4582            	1                 	78              	11,07                    	5,75                     	                         	08:21                                	15:46                                	                                     	10:01                                  	08:09                                  	                                       	1,40                                      	0,70                                      	0,10                       	0,20                       	0,10                        	0,00                        	0,70                        	0,30                        	1,00                         	0,50                         	1,1                                   	0,7                                   	                           	1,6                                  	                            	1,3                                  	                            	                             	0,4                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4557            	1                 	66              	14,90                    	8,80                     	                         	08:37                                	16:34                                	                                     	13:51                                  	19:03                                  	                                       	1,40                                      	1,15                                      	0,00                       	0,00                       	0,00                        	0,00                        	0,80                        	0,10                        	1,00                         	1,10                         	1,0                                   	0,6                                   	                           	1,7                                  	                            	1,7                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4560            	1                 	80              	16,06                    	7,85                     	                         	09:08                                	15:49                                	                                     	12:32                                  	07:57                                  	                                       	1,93                                      	0,95                                      	0,10                       	0,20                       	0,00                        	0,00                        	0,80                        	0,00                        	1,50                         	0,90                         	1,2                                   	0,9                                   	                           	2,2                                  	                            	1,8                                  	                            	                             	0,0                                     	                                      	0,4                                     	                                     	                                        	                                          
3                      	4551            	1                 	78              	16,12                    	8,55                     	                         	09:06                                	16:26                                	                                     	11:55                                  	08:40                                  	                                       	1,85                                      	1,65                                      	0,10                       	0,00                       	0,10                        	0,00                        	0,80                        	0,90                        	1,40                         	1,20                         	1,3                                   	0,9                                   	                           	2,0                                  	                            	1,6                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4525            	1                 	78              	10,99                    	6,08                     	                         	08:40                                	16:25                                	                                     	09:15                                  	06:22                                  	                                       	2,83                                      	2,00                                      	0,10                       	0,00                       	0,60                        	0,20                        	1,70                        	1,10                        	1,80                         	1,40                         	1,1                                   	0,9                                   	                           	2,0                                  	                            	1,7                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4535            	1                 	78              	8,08                     	4,67                     	                         	09:06                                	16:26                                	                                     	11:13                                  	06:23                                  	                                       	1,28                                      	0,95                                      	0,00                       	0,10                       	0,10                        	0,10                        	0,50                        	0,60                        	1,00                         	0,60                         	0,7                                   	0,7                                   	                           	1,6                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
3                      	4066            	1                 	81              	9,98                     	6,87                     	                         	08:37                                	16:25                                	                                     	13:58                                  	09:50                                  	                                       	0,83                                      	1,03                                      	0,10                       	0,10                       	0,00                        	0,00                        	0,40                        	0,40                        	0,60                         	0,80                         	0,7                                   	0,6                                   	                           	1,4                                  	                            	1,3                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
