Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
1                      	2567            	1                 	73              	14,15                    	                         	                         	08:01                                	                                     	                                     	06:59                                  	                                       	                                       	5,13                                      	                                          	0,10                       	                           	1,40                        	                            	2,90                        	                            	3,30                         	                             	2,0                                   	                                      	                           	3,5                                  	                            	                                     	                            	                             	0,2                                     	                                      	                                        	                                     	                                        	                                          
2                      	4585            	1                 	89              	11,94                    	5,36                     	                         	08:08                                	15:45                                	                                     	06:11                                  	03:42                                  	                                       	3,70                                      	3,13                                      	0,00                       	0,10                       	0,60                        	0,20                        	1,70                        	0,90                        	2,70                         	2,60                         	1,9                                   	1,4                                   	                           	3,2                                  	                            	2,9                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4586            	1                 	94              	8,47                     	5,30                     	                         	08:38                                	16:04                                	                                     	08:43                                  	07:22                                  	                                       	1,18                                      	1,38                                      	0,10                       	0,10                       	0,00                        	0,00                        	0,30                        	0,50                        	1,00                         	1,10                         	0,9                                   	0,7                                   	                           	1,4                                  	                            	1,3                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
2                      	5402            	1                 	90              	3,86                     	0,79                     	                         	08:47                                	16:04                                	                                     	15:25                                  	06:23                                  	                                       	1,60                                      	0,00                                      	0,10                       	0,00                       	0,10                        	0,00                        	0,90                        	0,00                        	1,10                         	0,00                         	0,2                                   	0,1                                   	                           	1,5                                  	                            	0,4                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4575            	1                 	87              	15,34                    	6,53                     	                         	08:08                                	15:47                                	                                     	12:34                                  	08:51                                  	                                       	2,35                                      	0,80                                      	0,00                       	0,00                       	0,20                        	0,00                        	1,40                        	0,00                        	1,60                         	0,80                         	1,2                                   	0,7                                   	                           	2,0                                  	                            	1,5                                  	                            	                             	0,0                                     	                                      	0,0                                     	                                     	                                        	                                          
2                      	4577            	1                 	87              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4545            	1                 	86              	14,50                    	7,95                     	                         	08:08                                	15:46                                	                                     	10:29                                  	08:59                                  	                                       	2,83                                      	0,73                                      	0,10                       	0,10                       	0,40                        	0,00                        	1,60                        	0,20                        	1,90                         	0,60                         	1,3                                   	0,8                                   	                           	2,6                                  	                            	1,6                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4528            	1                 	84              	7,35                     	4,89                     	                         	08:20                                	16:04                                	                                     	08:58                                  	07:10                                  	                                       	1,30                                      	1,03                                      	0,00                       	0,10                       	0,00                        	0,00                        	0,80                        	0,40                        	0,90                         	0,80                         	0,8                                   	0,6                                   	                           	1,6                                  	                            	1,4                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4536            	1                 	90              	11,47                    	6,94                     	                         	08:21                                	15:45                                	                                     	09:34                                  	06:47                                  	                                       	2,13                                      	1,90                                      	0,00                       	0,00                       	0,10                        	0,00                        	1,20                        	0,40                        	1,50                         	1,70                         	1,1                                   	1,0                                   	                           	1,9                                  	                            	2,1                                  	                            	                             	0,3                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4537            	1                 	87              	6,26                     	3,06                     	                         	08:21                                	16:03                                	                                     	04:50                                  	05:05                                  	                                       	4,63                                      	0,93                                      	0,40                       	0,10                       	3,10                        	0,00                        	3,90                        	0,00                        	1,80                         	0,90                         	1,2                                   	0,6                                   	                           	4,1                                  	                            	1,5                                  	                            	                             	0,2                                     	                                      	0,3                                     	                                     	                                        	                                          
