Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
1                      	4588            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
1                      	4549            	0                 	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4585            	1                 	84              	13,63                    	6,77                     	                         	08:23                                	16:12                                	                                     	07:07                                  	08:00                                  	                                       	3,63                                      	3,43                                      	0,10                       	0,30                       	0,20                        	0,40                        	1,70                        	1,90                        	2,70                         	2,30                         	1,9                                   	1,7                                   	                           	3,1                                  	                            	2,5                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4586            	1                 	89              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	5402            	1                 	85              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4575            	1                 	82              	13,61                    	7,65                     	                         	08:23                                	16:28                                	                                     	13:27                                  	-17:-51                                	                                       	1,93                                      	1,23                                      	0,10                       	0,10                       	0,20                        	0,00                        	1,10                        	0,40                        	1,30                         	1,00                         	1,0                                   	0,7                                   	                           	1,8                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
2                      	4577            	1                 	82              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
2                      	4545            	1                 	81              	13,14                    	9,32                     	                         	08:22                                	16:29                                	                                     	10:46                                  	-18:-03                                	                                       	2,68                                      	2,63                                      	0,10                       	0,00                       	0,60                        	0,30                        	1,60                        	1,50                        	1,70                         	1,80                         	1,2                                   	1,1                                   	                           	2,1                                  	                            	2,2                                  	                            	                             	0,0                                     	                                      	0,0                                     	                                     	                                        	                                          
2                      	4528            	1                 	79              	13,17                    	4,42                     	                         	08:42                                	16:11                                	                                     	09:55                                  	00:-16                                 	                                       	0,00                                      	1,13                                      	0,00                       	0,10                       	0,00                        	0,00                        	0,00                        	0,40                        	0,00                         	0,90                         	2,5                                   	0,7                                   	                           	2,9                                  	                            	1,5                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4536            	1                 	85              	10,67                    	7,44                     	                         	08:36                                	16:03                                	                                     	09:50                                  	08:00                                  	                                       	2,23                                      	2,95                                      	0,10                       	0,40                       	0,20                        	1,00                        	1,10                        	1,60                        	1,60                         	1,80                         	1,0                                   	0,5                                   	                           	2,0                                  	                            	2,0                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
2                      	4537            	1                 	82              	4,45                     	3,50                     	                         	08:36                                	16:18                                	                                     	05:09                                  	-07:-29                                	                                       	3,02                                      	2,20                                      	0,20                       	0,00                       	0,10                        	0,00                        	1,70                        	0,40                        	2,09                         	2,00                         	1,3                                   	0,8                                   	                           	4,1                                  	                            	2,6                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
3                      	5403            	1                 	87              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
3                      	5409            	1                 	87              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
3                      	4582            	1                 	86              	10,54                    	6,13                     	                         	08:23                                	16:17                                	                                     	11:27                                  	-06:-03                                	                                       	1,13                                      	0,98                                      	0,10                       	0,10                       	0,00                        	0,00                        	0,40                        	0,50                        	0,90                         	0,70                         	0,9                                   	0,8                                   	                           	1,5                                  	                            	1,4                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4557            	1                 	74              	14,47                    	6,95                     	                         	08:35                                	15:49                                	                                     	10:24                                  	-38:-29                                	                                       	2,13                                      	0,80                                      	0,10                       	0,00                       	0,20                        	0,00                        	1,10                        	0,00                        	1,50                         	0,80                         	1,3                                   	0,8                                   	                           	2,2                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4560            	1                 	88              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
3                      	4551            	1                 	86              	7,98                     	                         	                         	09:44                                	                                     	                                     	07:55                                  	                                       	                                       	2,20                                      	                                          	0,40                       	                           	0,80                        	                            	1,00                        	                            	1,40                         	                             	1,0                                   	                                      	                           	1,9                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
3                      	4525            	1                 	86              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
3                      	4535            	1                 	86              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
3                      	4066            	1                 	89              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
4                      	5407            	1                 	90              	11,32                    	8,76                     	                         	09:25                                	15:51                                	                                     	10:11                                  	-40:-07                                	                                       	1,70                                      	1,70                                      	0,00                       	0,00                       	0,20                        	0,00                        	0,90                        	0,80                        	1,20                         	1,30                         	1,1                                   	1,0                                   	                           	1,8                                  	                            	1,8                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
4                      	4587            	1                 	94              	7,48                     	                         	                         	09:44                                	                                     	                                     	20:11                                  	                                       	                                       	0,95                                      	                                          	0,20                       	                           	0,20                        	                            	0,50                        	                            	0,60                         	                             	0,7                                   	                                      	                           	1,1                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
4                      	4581            	1                 	91              	14,47                    	10,51                    	                         	08:41                                	16:09                                	                                     	13:25                                  	08:00                                  	                                       	0,50                                      	0,45                                      	0,00                       	0,00                       	0,00                        	0,00                        	0,20                        	0,10                        	0,40                         	0,40                         	0,8                                   	0,7                                   	                           	1,7                                  	                            	1,4                                  	                            	                             	0,8                                     	                                      	0,0                                     	                                     	                                        	                                          
