Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	653             	2                 	143             	                	07:56                                	                                     	                                     	09:31                                  	                                       	                                       	14,33                    	                         	                         	07:57                           	                                	                                	05:37                            	                                 	                                 	10,4                      	                          	                          
1                      	2623            	1                 	109             	                	08:15                                	15:44                                	                                     	08:08                                  	04:26                                  	                                       	15,48                    	7,46                     	                         	08:17                           	15:40                           	                                	08:51                            	05:08                            	                                 	15,0                      	7,9                       	                          
1                      	2624            	2                 	127             	                	08:30                                	15:54                                	                                     	13:50                                  	09:05                                  	                                       	14,46                    	9,42                     	                         	08:11                           	15:41                           	                                	12:08                            	11:43                            	                                 	13,1                      	10,8                      	                          
1                      	2662            	2                 	156             	                	07:50                                	17:22                                	                                     	05:46                                  	04:16                                  	                                       	7,48                     	5,92                     	                         	07:46                           	17:17                           	                                	04:55                            	06:49                            	                                 	4,8                       	4,4                       	                          
1                      	3652            	2                 	108             	                	07:56                                	15:43                                	                                     	06:48                                  	04:19                                  	                                       	13,94                    	6,47                     	                         	07:56                           	15:32                           	                                	06:28                            	04:11                            	                                 	13,9                      	6,5                       	                          
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4498            	1                 	103             	                	07:55                                	17:05                                	                                     	05:32                                  	13:07                                  	                                       	11,37                    	8,48                     	                         	07:57                           	17:10                           	                                	15:58                            	12:36                            	                                 	12,1                      	8,5                       	                          
1                      	4448            	1                 	168             	                	07:56                                	15:43                                	                                     	11:01                                  	05:42                                  	                                       	13,99                    	6,43                     	                         	07:56                           	15:33                           	                                	10:42                            	08:32                            	                                 	13,8                      	6,5                       	                          
1                      	4412            	2                 	106             	                	08:11                                	15:43                                	                                     	07:04                                  	06:18                                  	                                       	10,88                    	4,99                     	                         	07:57                           	15:32                           	                                	07:20                            	04:57                            	                                 	10,7                      	5,3                       	                          
1                      	4421            	1                 	135             	                	08:15                                	15:54                                	                                     	06:26                                  	08:43                                  	                                       	7,54                     	4,19                     	                         	08:27                           	15:41                           	                                	10:13                            	11:58                            	                                 	8,2                       	3,9                       	                          
