Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
2                      	4536            	1                 	142             	24,00           	08:38                                	16:15                                	                                     	10:01                                  	06:09                                  	                                       	10,41                    	5,55                     	                         	08:36                           	16:40                           	                                	08:50                            	06:51                            	                                 	9,9                       	7,0                       	                          
2                      	4537            	1                 	139             	15,82           	08:38                                	16:15                                	                                     	05:43                                  	04:18                                  	                                       	3,41                     	2,37                     	                         	08:36                           	16:43                           	                                	10:03                            	04:12                            	                                 	4,7                       	2,0                       	                          
3                      	5409            	1                 	144             	22,53           	08:53                                	16:30                                	                                     	09:13                                  	05:59                                  	                                       	10,96                    	6,18                     	                         	08:52                           	16:58                           	                                	08:31                            	05:52                            	                                 	10,3                      	6,9                       	                          
3                      	5403            	1                 	144             	25,92           	08:53                                	16:29                                	                                     	07:16                                  	05:31                                  	                                       	10,41                    	6,57                     	                         	08:51                           	16:58                           	                                	07:25                            	05:05                            	                                 	11,0                      	6,9                       	                          
3                      	4582            	1                 	143             	22,70           	08:37                                	16:17                                	                                     	09:48                                  	04:30                                  	                                       	7,57                     	1,54                     	                         	08:32                           	16:40                           	                                	09:06                            	05:52                            	                                 	7,3                       	3,9                       	                          
3                      	4560            	1                 	145             	48,51           	08:51                                	16:28                                	                                     	18:25                                  	16:42                                  	                                       	16,29                    	7,38                     	                         	08:47                           	16:55                           	                                	13:46                            	11:01                            	                                 	15,6                      	9,6                       	                          
3                      	4551            	1                 	143             	24,88           	08:52                                	16:28                                	                                     	10:14                                  	07:16                                  	                                       	13,41                    	7,59                     	                         	08:47                           	16:55                           	                                	11:36                            	06:28                            	                                 	13,2                      	7,4                       	                          
3                      	4557            	1                 	131             	31,10           	08:52                                	16:28                                	                                     	17:22                                  	14:28                                  	                                       	11,73                    	8,43                     	                         	08:48                           	16:56                           	                                	23:25                            	10:07                            	                                 	12,1                      	8,4                       	                          
3                      	4535            	1                 	143             	12,30           	08:55                                	16:29                                	                                     	09:02                                  	06:52                                  	                                       	8,16                     	5,49                     	                         	08:51                           	16:58                           	                                	07:13                            	08:16                            	                                 	8,0                       	6,2                       	                          
3                      	4525            	1                 	143             	18,94           	08:54                                	16:29                                	                                     	07:52                                  	04:53                                  	                                       	10,36                    	4,61                     	                         	08:51                           	16:58                           	                                	07:04                            	08:07                            	                                 	8,4                       	2,4                       	                          
3                      	4066            	1                 	146             	20,95           	08:51                                	16:27                                	                                     	18:08                                  	17:53                                  	                                       	8,99                     	5,57                     	                         	08:48                           	16:55                           	                                	19:00                            	09:27                            	                                 	8,2                       	8,5                       	                          
4                      	5407            	1                 	147             	22,24           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4587            	1                 	151             	24,62           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4581            	1                 	148             	25,37           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4583            	1                 	149             	18,58           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4573            	1                 	146             	7,72            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4548            	1                 	148             	26,71           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4550            	1                 	147             	24,09           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4546            	1                 	148             	22,99           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4065            	1                 	151             	5,29            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
5                      	5408            	1                 	135             	25,98           	09:12                                	16:46                                	                                     	09:24                                  	04:50                                  	                                       	10,82                    	5,36                     	                         	09:04                           	17:12                           	                                	07:49                            	04:59                            	                                 	24,5                      	5,8                       	                          
5                      	4584            	1                 	93              	                	09:08                                	16:40                                	                                     	16:23                                  	11:30                                  	                                       	12,41                    	7,24                     	                         	09:06                           	17:10                           	                                	13:00                            	08:10                            	                                 	10,2                      	6,3                       	                          
5                      	4572            	1                 	99              	                	09:09                                	16:41                                	                                     	15:49                                  	10:20                                  	                                       	9,07                     	4,87                     	                         	09:06                           	17:11                           	                                	09:24                            	08:57                            	                                 	4,0                       	9,4                       	                          
5                      	4554            	1                 	122             	31,29           	09:09                                	16:41                                	                                     	15:36                                  	10:02                                  	                                       	10,05                    	5,55                     	                         	09:07                           	17:11                           	                                	10:57                            	07:39                            	                                 	9,8                       	6,2                       	                          
5                      	4544            	1                 	101             	15,13           	09:08                                	16:40                                	                                     	16:10                                  	11:12                                  	                                       	8,80                     	4,60                     	                         	09:06                           	17:11                           	                                	11:25                            	08:30                            	                                 	7,2                       	5,5                       	                          
6                      	2648            	1                 	166             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	4426            	2                 	90              	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	4475            	1                 	156             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	4477            	2                 	174             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	4465            	2                 	170             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	3530            	1                 	153             	22,58           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	3458            	1                 	173             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	3437            	1                 	174             	20,47           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	2560            	2                 	176             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	2416            	2                 	157             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
7                      	2710            	1                 	164             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
7                      	3600            	1                 	174             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
7                      	3644            	1                 	170             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
7                      	3785            	1                 	167             	25,41           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
7                      	4453            	2                 	168             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
7                      	3538            	8                 	174             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
7                      	3460            	1                 	171             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
7                      	2483            	2                 	169             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
7                      	2431            	1                 	175             	24,81           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
72                     	72              	1                 	140             	21,15           	                                     	                                     	                                     	                                       	                                       	                                       	450,23                   	113,69                   	                         	                                	                                	                                	                                 	                                 	                                 	448,9                     	264,5                     	                          
[Número do grupo] < '8'	                	                  	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
