Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	653             	2                 	135             	                	07:45                                	15:12                                	                                     	08:50                                  	05:48                                  	                                       	16,10                    	6,79                     	                         	07:48                           	15:19                           	                                	07:11                            	05:36                            	                                 	15,7                      	9,3                       	                          
1                      	2623            	1                 	101             	                	08:02                                	15:27                                	                                     	06:41                                  	04:55                                  	                                       	14,09                    	7,69                     	                         	08:00                           	15:36                           	                                	06:32                            	05:01                            	                                 	11,8                      	8,3                       	                          
1                      	2624            	2                 	119             	                	08:12                                	15:23                                	                                     	13:40                                  	10:27                                  	                                       	12,39                    	10,18                    	                         	08:02                           	15:36                           	                                	15:58                            	10:07                            	                                 	15,4                      	8,9                       	                          
1                      	2662            	2                 	148             	                	08:13                                	15:35                                	                                     	07:22                                  	06:45                                  	                                       	12,99                    	6,38                     	                         	08:00                           	15:38                           	                                	07:47                            	08:09                            	                                 	12,6                      	7,4                       	                          
1                      	3652            	2                 	100             	                	07:51                                	15:12                                	                                     	07:08                                  	03:46                                  	                                       	13,17                    	5,36                     	                         	07:46                           	15:22                           	                                	11:31                            	04:38                            	                                 	12,2                      	6,3                       	                          
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4498            	1                 	95              	                	07:52                                	15:08                                	                                     	14:51                                  	10:13                                  	                                       	15,11                    	6,47                     	                         	07:44                           	15:20                           	                                	12:15                            	11:21                            	                                 	10,3                      	6,9                       	                          
1                      	4448            	1                 	160             	                	07:51                                	15:23                                	                                     	10:42                                  	07:04                                  	                                       	13,28                    	6,34                     	                         	07:45                           	15:23                           	                                	10:50                            	06:47                            	                                 	12,8                      	6,9                       	                          
1                      	4412            	2                 	98              	                	07:52                                	15:09                                	                                     	06:57                                  	03:42                                  	                                       	10,47                    	4,66                     	                         	07:48                           	15:18                           	                                	07:19                            	04:15                            	                                 	11,0                      	5,1                       	                          
1                      	4421            	1                 	127             	                	09:33                                	16:34                                	                                     	10:14                                  	08:58                                  	                                       	6,92                     	3,45                     	                         	09:37                           	16:52                           	                                	13:38                            	09:24                            	                                 	6,9                       	3,4                       	                          
1                      	4021            	2                 	105             	                	08:12                                	15:23                                	                                     	08:40                                  	04:58                                  	                                       	15,06                    	6,29                     	                         	08:02                           	15:38                           	                                	08:20                            	05:59                            	                                 	14,1                      	7,3                       	                          
1                      	3579            	1                 	90              	                	07:42                                	15:09                                	                                     	13:02                                  	06:33                                  	                                       	14,26                    	7,13                     	                         	08:00                           	15:24                           	                                	08:59                            	10:03                            	                                 	13,6                      	12,5                      	                          
1                      	3527            	1                 	109             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3500            	2                 	106             	                	08:02                                	15:27                                	                                     	07:13                                  	04:17                                  	                                       	13,48                    	6,84                     	                         	08:00                           	                                	                                	07:03                            	                                 	                                 	14,1                      	                          	                          
1                      	3475            	1                 	117             	                	07:46                                	15:11                                	                                     	10:54                                  	05:04                                  	                                       	16,53                    	7,97                     	                         	07:48                           	15:20                           	                                	07:58                            	05:14                            	                                 	15,0                      	8,4                       	                          
1                      	3424            	1                 	114             	                	08:11                                	15:26                                	                                     	14:17                                  	08:55                                  	                                       	10,47                    	5,19                     	                         	08:02                           	15:35                           	                                	12:57                            	12:00                            	                                 	9,1                       	6,0                       	                          
1                      	2581            	1                 	142             	                	08:02                                	15:09                                	                                     	09:05                                  	04:38                                  	                                       	17,41                    	6,79                     	                         	07:45                           	15:22                           	                                	09:36                            	05:24                            	                                 	16,4                      	6,8                       	                          
1                      	2567            	1                 	107             	                	07:47                                	15:12                                	                                     	12:19                                  	05:02                                  	                                       	14,99                    	7,93                     	                         	07:47                           	15:20                           	                                	07:59                            	05:12                            	                                 	13,9                      	8,3                       	                          
1                      	2468            	2                 	128             	                	08:02                                	15:27                                	                                     	06:36                                  	03:23                                  	                                       	13,61                    	6,15                     	                         	08:02                           	15:36                           	                                	07:33                            	03:55                            	                                 	13,9                      	7,0                       	                          
1                      	2406            	2                 	103             	                	08:12                                	15:24                                	                                     	10:06                                  	05:55                                  	                                       	11,41                    	5,98                     	                         	08:10                           	15:36                           	                                	12:34                            	06:54                            	                                 	11,3                      	5,7                       	                          
2                      	4586            	1                 	128             	12,32           	08:30                                	15:41                                	                                     	09:15                                  	07:17                                  	                                       	8,16                     	5,37                     	                         	08:27                           	15:53                           	                                	09:47                            	05:51                            	                                 	8,6                       	4,6                       	                          
2                      	5402            	1                 	124             	8,57            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4577            	1                 	121             	9,55            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4585            	1                 	123             	23,70           	08:30                                	15:39                                	                                     	06:14                                  	04:09                                  	                                       	11,17                    	6,39                     	                         	08:27                           	15:51                           	                                	07:38                            	03:56                            	                                 	10,9                      	5,9                       	                          
2                      	4575            	1                 	121             	22,08           	08:24                                	15:39                                	                                     	12:36                                  	09:20                                  	                                       	14,40                    	6,63                     	                         	08:27                           	15:51                           	                                	12:04                            	06:33                            	                                 	13,5                      	6,0                       	                          
2                      	4545            	1                 	120             	23,76           	08:29                                	15:45                                	                                     	08:58                                  	07:16                                  	                                       	24,62                    	5,95                     	                         	08:25                           	15:51                           	                                	08:48                            	08:53                            	                                 	11,4                      	6,9                       	                          
2                      	4528            	1                 	118             	8,05            	08:24                                	15:40                                	                                     	08:54                                  	04:57                                  	                                       	6,20                     	3,34                     	                         	08:28                           	15:53                           	                                	08:37                            	06:25                            	                                 	5,7                       	4,4                       	                          
2                      	4536            	1                 	124             	24,00           	08:24                                	15:45                                	                                     	09:04                                  	05:10                                  	                                       	10,54                    	4,88                     	                         	08:25                           	15:53                           	                                	08:16                            	06:22                            	                                 	10,6                      	5,1                       	                          
2                      	4537            	1                 	121             	15,82           	08:30                                	15:45                                	                                     	08:26                                  	08:53                                  	                                       	4,15                     	1,50                     	                         	08:25                           	15:53                           	                                	09:06                            	07:12                            	                                 	4,8                       	3,2                       	                          
3                      	5409            	1                 	126             	22,53           	08:40                                	15:52                                	                                     	09:31                                  	04:37                                  	                                       	10,93                    	5,73                     	                         	08:37                           	16:04                           	                                	09:17                            	05:36                            	                                 	11,2                      	5,7                       	                          
3                      	5403            	1                 	126             	25,92           	08:44                                	15:52                                	                                     	07:33                                  	06:01                                  	                                       	10,67                    	6,08                     	                         	08:37                           	16:07                           	                                	11:54                            	05:56                            	                                 	10,6                      	6,4                       	                          
3                      	4582            	1                 	125             	22,70           	08:25                                	15:45                                	                                     	08:16                                  	05:01                                  	                                       	8,03                     	3,01                     	                         	08:25                           	15:51                           	                                	08:38                            	08:42                            	                                 	7,5                       	3,3                       	                          
3                      	4560            	1                 	127             	48,51           	08:40                                	15:51                                	                                     	13:11                                  	08:17                                  	                                       	15,57                    	9,25                     	                         	08:37                           	16:04                           	                                	11:31                            	08:54                            	                                 	15,5                      	7,5                       	                          
3                      	4551            	1                 	125             	24,88           	08:40                                	15:58                                	                                     	10:31                                  	06:17                                  	                                       	13,43                    	7,09                     	                         	08:37                           	16:08                           	                                	11:35                            	06:39                            	                                 	13,7                      	7,2                       	                          
3                      	4557            	1                 	113             	31,10           	08:44                                	15:57                                	                                     	14:48                                  	11:54                                  	                                       	12,31                    	8,65                     	                         	08:43                           	16:05                           	                                	18:36                            	10:15                            	                                 	11,9                      	7,9                       	                          
3                      	4535            	1                 	125             	12,30           	08:40                                	15:52                                	                                     	10:06                                  	05:17                                  	                                       	8,81                     	3,98                     	                         	08:43                           	16:08                           	                                	10:26                            	05:48                            	                                 	8,7                       	4,4                       	                          
3                      	4525            	1                 	125             	18,94           	08:44                                	15:58                                	                                     	13:12                                  	07:41                                  	                                       	9,97                     	4,35                     	                         	08:43                           	16:08                           	                                	09:00                            	07:33                            	                                 	8,9                       	4,1                       	                          
3                      	4066            	1                 	128             	20,95           	08:44                                	15:56                                	                                     	14:38                                  	12:11                                  	                                       	8,87                     	6,25                     	                         	08:42                           	16:05                           	                                	17:50                            	09:54                            	                                 	9,3                       	6,2                       	                          
4                      	5407            	1                 	129             	22,24           	09:03                                	16:20                                	                                     	10:50                                  	06:46                                  	                                       	13,06                    	7,85                     	                         	09:05                           	16:23                           	                                	11:19                            	07:10                            	                                 	13,2                      	7,6                       	                          
4                      	4587            	1                 	133             	24,62           	09:32                                	16:34                                	                                     	11:20                                  	05:23                                  	                                       	8,53                     	3,97                     	                         	09:37                           	16:52                           	                                	18:23                            	10:23                            	                                 	9,1                       	4,3                       	                          
4                      	4581            	1                 	130             	25,37           	09:14                                	16:18                                	                                     	19:33                                  	17:13                                  	                                       	13,52                    	7,76                     	                         	09:10                           	16:21                           	                                	18:06                            	13:33                            	                                 	13,0                      	7,6                       	                          
4                      	4583            	1                 	131             	18,58           	09:16                                	16:21                                	                                     	10:32                                  	07:39                                  	                                       	9,46                     	5,34                     	                         	09:05                           	16:21                           	                                	09:30                            	06:28                            	                                 	8,8                       	4,8                       	                          
4                      	4573            	1                 	128             	7,72            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
4                      	4548            	1                 	130             	26,71           	09:02                                	16:12                                	                                     	15:01                                  	14:02                                  	                                       	16,94                    	0,69                     	                         	09:11                           	16:24                           	                                	19:12                            	08:34                            	                                 	15,2                      	8,8                       	                          
4                      	4550            	1                 	129             	24,09           	09:03                                	16:13                                	                                     	12:27                                  	07:13                                  	                                       	11,21                    	5,04                     	                         	09:12                           	16:23                           	                                	11:05                            	06:24                            	                                 	12,0                      	5,0                       	                          
