Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	653             	2                 	134             	                	07:48                                	15:19                                	                                     	07:11                                  	05:36                                  	                                       	15,71                    	9,30                     	                         	08:01                           	15:23                           	                                	06:48                            	05:31                            	                                 	15,3                      	8,8                       	                          
1                      	2623            	1                 	100             	                	08:00                                	15:36                                	                                     	06:32                                  	05:01                                  	                                       	11,75                    	8,25                     	                         	08:02                           	15:38                           	                                	07:22                            	05:08                            	                                 	15,0                      	7,4                       	                          
1                      	2624            	2                 	118             	                	08:02                                	15:36                                	                                     	15:58                                  	10:07                                  	                                       	15,38                    	8,94                     	                         	08:05                           	15:39                           	                                	17:01                            	10:56                            	                                 	16,1                      	9,7                       	                          
1                      	2662            	2                 	147             	                	08:00                                	15:38                                	                                     	07:47                                  	08:09                                  	                                       	12,59                    	7,37                     	                         	08:01                           	15:38                           	                                	09:06                            	04:58                            	                                 	13,8                      	6,9                       	                          
1                      	3652            	2                 	99              	                	07:46                                	15:22                                	                                     	11:31                                  	04:38                                  	                                       	12,23                    	6,27                     	                         	07:49                           	15:22                           	                                	05:44                            	13:00                            	                                 	12,3                      	6,1                       	                          
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4498            	1                 	94              	                	07:44                                	15:20                                	                                     	12:15                                  	11:21                                  	                                       	10,31                    	6,94                     	                         	07:45                           	15:20                           	                                	17:11                            	11:15                            	                                 	10,6                      	5,7                       	                          
1                      	4448            	1                 	159             	                	07:45                                	15:23                                	                                     	10:50                                  	06:47                                  	                                       	12,83                    	6,86                     	                         	07:46                           	15:21                           	                                	10:39                            	12:10                            	                                 	13,6                      	6,3                       	                          
1                      	4412            	2                 	97              	                	07:48                                	15:18                                	                                     	07:19                                  	04:15                                  	                                       	10,97                    	5,05                     	                         	07:48                           	15:23                           	                                	06:53                            	03:56                            	                                 	10,8                      	5,1                       	                          
