Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	653             	2                 	126             	                	07:47                                	15:26                                	                                     	08:04                                  	05:08                                  	                                       	15,84                    	7,88                     	                         	07:46                           	15:37                           	                                	09:02                            	04:03                            	                                 	15,0                      	7,9                       	                          
1                      	2623            	1                 	92              	                	08:09                                	15:43                                	                                     	07:50                                  	05:25                                  	                                       	13,81                    	7,66                     	                         	08:07                           	15:55                           	                                	06:44                            	05:50                            	                                 	12,7                      	8,1                       	                          
1                      	2624            	2                 	110             	                	07:59                                	15:35                                	                                     	12:17                                  	09:27                                  	                                       	12,63                    	10,54                    	                         	08:00                           	15:56                           	                                	12:52                            	10:33                            	                                 	13,4                      	9,9                       	                          
1                      	2662            	2                 	139             	                	09:31                                	                                     	                                     	08:06                                  	                                       	                                       	13,64                    	                         	                         	09:41                           	                                	                                	07:52                            	                                 	                                 	12,7                      	                          	                          
1                      	3652            	2                 	91              	                	07:47                                	15:26                                	                                     	06:46                                  	04:50                                  	                                       	12,73                    	6,80                     	                         	07:46                           	15:38                           	                                	07:15                            	04:26                            	                                 	12,8                      	6,4                       	                          
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4498            	1                 	86              	                	07:45                                	15:24                                	                                     	04:42                                  	12:29                                  	                                       	14,82                    	6,33                     	                         	07:43                           	15:35                           	                                	07:17                            	15:42                            	                                 	14,2                      	6,3                       	                          
1                      	4448            	1                 	151             	                	07:46                                	15:25                                	                                     	11:12                                  	06:58                                  	                                       	13,08                    	6,76                     	                         	07:53                           	15:37                           	                                	10:40                            	07:24                            	                                 	12,4                      	7,0                       	                          
1                      	4412            	2                 	89              	                	07:47                                	15:26                                	                                     	06:30                                  	04:29                                  	                                       	10,35                    	5,12                     	                         	07:45                           	15:37                           	                                	13:22                            	04:25                            	                                 	9,7                       	5,0                       	                          
1                      	4421            	1                 	118             	                	09:31                                	                                     	                                     	08:41                                  	                                       	                                       	8,47                     	                         	                         	09:41                           	                                	                                	12:04                            	                                 	                                 	8,3                       	                          	                          
1                      	4021            	2                 	96              	                	08:09                                	15:43                                	                                     	07:39                                  	05:48                                  	                                       	13,01                    	5,35                     	                         	08:06                           	15:46                           	                                	07:06                            	04:15                            	                                 	12,5                      	5,7                       	                          
1                      	3579            	1                 	81              	                	07:46                                	15:26                                	                                     	07:13                                  	06:22                                  	                                       	12,25                    	7,14                     	                         	07:45                           	15:37                           	                                	14:05                            	05:45                            	                                 	12,8                      	7,1                       	                          
1                      	3527            	1                 	100             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3500            	2                 	97              	                	07:59                                	15:34                                	                                     	06:41                                  	04:32                                  	                                       	13,90                    	6,35                     	                         	08:00                           	15:46                           	                                	06:27                            	04:31                            	                                 	13,3                      	6,2                       	                          
1                      	3475            	1                 	108             	                	07:46                                	15:26                                	                                     	04:59                                  	04:32                                  	                                       	13,85                    	6,85                     	                         	07:46                           	15:36                           	                                	07:30                            	04:49                            	                                 	13,7                      	7,0                       	                          
1                      	3424            	1                 	105             	                	07:59                                	15:34                                	                                     	10:32                                  	11:27                                  	                                       	6,46                     	5,60                     	                         	08:00                           	15:56                           	                                	14:11                            	09:49                            	                                 	9,1                       	7,1                       	                          
1                      	2581            	1                 	133             	                	09:31                                	                                     	                                     	09:04                                  	                                       	                                       	18,57                    	                         	                         	09:41                           	                                	                                	08:24                            	                                 	                                 	17,8                      	                          	                          
1                      	2567            	1                 	98              	                	07:47                                	15:27                                	                                     	09:00                                  	04:22                                  	                                       	17,02                    	8,46                     	                         	07:44                           	15:38                           	                                	06:55                            	04:13                            	                                 	15,1                      	8,0                       	                          
1                      	2468            	2                 	119             	                	07:59                                	15:35                                	                                     	06:44                                  	03:37                                  	                                       	12,18                    	5,71                     	                         	08:07                           	15:46                           	                                	06:06                            	04:02                            	                                 	9,7                       	6,0                       	                          
1                      	2406            	2                 	94              	                	08:09                                	15:43                                	                                     	10:03                                  	05:42                                  	                                       	10,48                    	5,01                     	                         	08:00                           	15:45                           	                                	10:39                            	05:57                            	                                 	10,6                      	5,0                       	                          
2                      	4586            	1                 	119             	12,32           	08:24                                	15:53                                	                                     	09:50                                  	06:58                                  	                                       	8,31                     	4,27                     	                         	08:21                           	15:58                           	                                	11:08                            	06:31                            	                                 	9,2                       	4,6                       	                          
2                      	5402            	1                 	115             	8,57            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4577            	1                 	112             	9,55            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4585            	1                 	114             	23,70           	08:16                                	15:50                                	                                     	08:40                                  	04:52                                  	                                       	12,06                    	5,97                     	                         	08:20                           	15:58                           	                                	10:24                            	04:14                            	                                 	11,9                      	7,5                       	                          
2                      	4575            	1                 	112             	22,08           	08:22                                	15:49                                	                                     	11:57                                  	08:01                                  	                                       	12,99                    	6,55                     	                         	08:21                           	15:57                           	                                	11:19                            	08:26                            	                                 	13,3                      	6,9                       	                          
2                      	4545            	1                 	111             	23,76           	08:17                                	15:49                                	                                     	08:49                                  	06:55                                  	                                       	12,50                    	6,02                     	                         	08:21                           	15:57                           	                                	11:32                            	07:38                            	                                 	12,3                      	7,4                       	                          
2                      	4528            	1                 	109             	8,05            	08:16                                	15:53                                	                                     	08:04                                  	05:30                                  	                                       	6,98                     	4,34                     	                         	08:20                           	16:12                           	                                	09:34                            	07:41                            	                                 	7,5                       	3,4                       	                          
2                      	4536            	1                 	115             	24,00           	08:22                                	15:53                                	                                     	09:23                                  	07:15                                  	                                       	9,61                     	6,07                     	                         	08:20                           	16:12                           	                                	09:12                            	07:20                            	                                 	11,1                      	6,3                       	                          
2                      	4537            	1                 	112             	15,82           	08:17                                	15:53                                	                                     	04:30                                  	03:03                                  	                                       	4,40                     	2,29                     	                         	08:20                           	16:12                           	                                	04:05                            	04:10                            	                                 	4,7                       	2,0                       	                          
3                      	5409            	1                 	117             	22,53           	08:40                                	16:01                                	                                     	09:04                                  	05:42                                  	                                       	10,72                    	6,17                     	                         	08:42                           	16:24                           	                                	10:25                            	05:38                            	                                 	10,6                      	6,0                       	                          
