Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
1                      	653             	2                 	145             	                	08:00                                	17:11                                	                                     	05:40                                  	04:16                                  	                                       	13,62                    	8,89                     	                         	08:17                           	17:03                           	                                	07:13                            	05:15                            	                                 	13,7                      	9,6                       	                          
1                      	2623            	1                 	111             	                	08:19                                	15:57                                	                                     	08:06                                  	05:22                                  	                                       	15,53                    	7,85                     	                         	08:11                           	                                	                                	07:40                            	                                 	                                 	15,2                      	                          	                          
1                      	2624            	2                 	129             	                	08:24                                	15:58                                	                                     	11:03                                  	08:56                                  	                                       	12,12                    	8,79                     	                         	08:18                           	15:45                           	                                	15:51                            	09:30                            	                                 	15,0                      	8,9                       	                          
1                      	2662            	2                 	158             	                	07:52                                	                                     	                                     	06:56                                  	                                       	                                       	9,07                     	                         	                         	07:49                           	                                	                                	06:47                            	                                 	                                 	9,3                       	                          	                          
1                      	3652            	2                 	110             	                	08:19                                	15:46                                	                                     	06:01                                  	03:25                                  	                                       	14,32                    	5,63                     	                         	08:11                           	15:44                           	                                	06:29                            	04:50                            	                                 	13,9                      	7,6                       	                          
1                      	4588            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4549            	0                 	                	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	4498            	1                 	105             	                	08:00                                	17:05                                	                                     	21:28                                  	14:31                                  	                                       	12,81                    	8,65                     	                         	07:54                           	17:04                           	                                	18:15                            	13:48                            	                                 	12,5                      	9,1                       	                          
1                      	4448            	1                 	170             	                	08:02                                	15:46                                	                                     	12:28                                  	06:09                                  	                                       	13,52                    	6,95                     	                         	07:56                           	15:44                           	                                	11:22                            	07:25                            	                                 	13,2                      	6,9                       	                          
1                      	4412            	2                 	108             	                	08:02                                	15:46                                	                                     	06:35                                  	03:56                                  	                                       	10,42                    	5,40                     	                         	07:56                           	15:44                           	                                	06:20                            	04:30                            	                                 	10,1                      	6,1                       	                          
1                      	4421            	1                 	137             	                	08:32                                	15:58                                	                                     	06:04                                  	09:21                                  	                                       	7,34                     	4,64                     	                         	08:24                           	15:56                           	                                	08:01                            	03:34                            	                                 	22,6                      	3,8                       	                          
1                      	4021            	2                 	115             	                	08:25                                	17:11                                	                                     	07:40                                  	04:25                                  	                                       	14,47                    	6,20                     	                         	08:18                           	17:10                           	                                	16:54                            	05:39                            	                                 	14,4                      	8,3                       	                          
1                      	3579            	1                 	100             	                	08:02                                	15:45                                	                                     	09:24                                  	05:09                                  	                                       	14,03                    	6,86                     	                         	08:11                           	15:44                           	                                	09:31                            	08:32                            	                                 	13,2                      	7,7                       	                          
1                      	3527            	1                 	119             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
1                      	3500            	2                 	116             	                	08:19                                	15:58                                	                                     	07:39                                  	04:44                                  	                                       	15,58                    	6,52                     	                         	08:11                           	15:56                           	                                	06:51                            	04:41                            	                                 	14,4                      	7,1                       	                          
1                      	3475            	1                 	127             	                	08:01                                	15:45                                	                                     	08:14                                  	05:10                                  	                                       	15,24                    	8,13                     	                         	07:56                           	15:44                           	                                	08:53                            	04:41                            	                                 	15,2                      	8,0                       	                          
1                      	3424            	1                 	124             	                	08:25                                	17:05                                	                                     	11:50                                  	14:44                                  	                                       	7,89                     	6,76                     	                         	08:19                           	17:03                           	                                	11:43                            	14:22                            	                                 	6,2                       	8,2                       	                          
1                      	2581            	1                 	152             	                	08:20                                	15:45                                	                                     	08:47                                  	04:56                                  	                                       	18,45                    	7,47                     	                         	07:56                           	15:45                           	                                	08:21                            	05:40                            	                                 	17,7                      	8,8                       	                          
1                      	2567            	1                 	117             	                	07:59                                	17:05                                	                                     	05:48                                  	06:33                                  	                                       	10,09                    	11,34                    	                         	07:55                           	17:10                           	                                	07:08                            	04:34                            	                                 	13,5                      	9,5                       	                          
1                      	2468            	2                 	138             	                	08:32                                	15:46                                	                                     	07:26                                  	03:55                                  	                                       	14,72                    	5,85                     	                         	08:24                           	15:56                           	                                	07:51                            	04:29                            	                                 	26,5                      	6,4                       	                          
1                      	2406            	2                 	113             	                	08:24                                	15:46                                	                                     	09:40                                  	05:59                                  	                                       	11,07                    	5,74                     	                         	08:18                           	15:45                           	                                	10:47                            	06:02                            	                                 	12,0                      	5,7                       	                          
2                      	4586            	1                 	138             	12,32           	08:41                                	15:59                                	                                     	12:52                                  	07:16                                  	                                       	8,85                     	4,72                     	                         	08:40                           	16:11                           	                                	09:48                            	06:41                            	                                 	8,3                       	5,2                       	                          
2                      	5402            	1                 	134             	8,57            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4577            	1                 	131             	9,55            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
2                      	4585            	1                 	133             	23,70           	08:43                                	16:12                                	                                     	06:29                                  	04:10                                  	                                       	10,98                    	5,94                     	                         	08:38                           	15:57                           	                                	06:21                            	05:14                            	                                 	10,2                      	7,5                       	                          
2                      	4575            	1                 	131             	22,08           	08:40                                	16:13                                	                                     	11:22                                  	06:08                                  	                                       	14,06                    	7,18                     	                         	08:39                           	15:57                           	                                	11:23                            	09:32                            	                                 	14,0                      	8,0                       	                          
